ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4129540	36680598	5	5
4134141	4178218	6	6
4126895	441802	4	5
4126705	37018137	7	8
4169265	37390712	3	4
4121042	44783488	4	4
4180938	4098337	6	7
4180627	4168074	5	8
4126705	45993744	4	5
4144778	4227596	6	6
4180526	4180527	1	1
4180628	440750	6	7
4126705	46140993	4	5
4180628	4149888	4	9
4126705	37015495	4	5
4181193	40480498	5	6
4180938	4184771	4	6
4180627	4132659	5	5
4126705	46035553	4	5
4181664	37110142	4	4
4145453	4239183	1	1
4180628	37115759	3	12
4169954	37206226	1	1
4132804	36676388	4	5
4180004	42535349	6	6
4126705	46206679	4	5
4165781	4143415	2	2
4126705	46127600	4	5
4180644	4174309	1	1
4175951	4097684	3	3
4180627	4127945	5	7
4177956	4249321	5	5
4126705	46169778	4	5
4126705	37014941	4	5
4181063	4108812	5	5
4178545	42537277	6	7
4146035	4146034	1	1
4126705	37386466	4	5
4153882	4094261	2	2
4169265	37008512	3	4
4142310	3667118	2	2
4169265	46208483	3	4
4159949	4231545	4	5
4169265	3665419	3	4
4126705	45971405	4	4
4136768	43530632	2	2
4122633	4075871	5	6
4169265	46004357	3	4
4180628	4112590	4	4
4126705	46019377	4	5
4126705	37013908	4	5
4181781	42539745	1	1
4118428	4176639	3	3
4146314	44787738	4	4
4116238	36684473	3	3
4169265	45991706	3	4
4126705	37004024	4	7
4122951	44811682	2	2
4126705	35618859	4	5
4126705	37104403	4	5
4181193	4235376	4	5
4165781	4112950	5	5
4180004	36713598	4	4
4169265	3664727	3	4
4169265	36706907	3	4
4175638	4067530	3	3
4169265	3666212	3	4
4180627	44790240	4	13
4180628	36715216	3	10
4138886	4040981	4	4
4169265	46195154	3	4
4181322	4224344	5	7
4123314	4324972	3	4
4169265	46174047	3	4
4180627	4063645	6	9
4180628	4234788	6	8
4156229	45757845	4	4
4161511	4203683	1	1
4161415	4043235	2	2
4176642	4036233	6	6
4118436	4331961	1	1
4126705	37213383	4	5
4169265	46163710	3	4
4180627	4250015	5	9
4167841	44792656	7	8
4174113	37113189	1	1
4143695	4303557	1	1
4169265	46143571	3	4
4126705	46128897	4	5
4169265	45759993	7	7
4124244	42535607	6	6
4180628	140673	3	3
4126705	46200110	4	5
4155789	4090130	4	4
4150554	37113308	12	12
4169265	46193755	3	4
4126705	46003437	4	5
4169265	46215728	3	4
4169265	46007696	3	4
4174402	4190011	4	4
4178545	4129874	6	7
4180767	40484909	3	3
4126705	46124379	4	5
4169265	46045908	3	4
4151637	4014540	5	6
4180628	4336138	6	7
4180628	4312221	6	9
4169265	46123518	3	4
4156229	35613725	7	7
4144778	37018061	9	9
4169265	46052661	3	4
4169265	46159020	3	4
4178025	37117446	9	9
4126705	46280363	4	5
4171019	4288876	1	1
4179713	4341898	2	2
4169265	46206854	3	4
4134423	4138165	2	3
4139008	507258	6	6
4134184	4015074	2	2
4168332	4014192	5	5
4120665	46001213	7	7
4119274	37395244	3	3
4180627	4143709	4	4
4134141	4282995	9	11
4169265	46127356	3	4
4126705	36711834	4	5
4180627	4182365	3	5
4180627	4263796	6	10
4181063	36674758	7	7
4126705	37213813	4	5
4169265	37391912	3	4
4180628	201352	5	8
4155480	4155353	1	1
4130372	36674228	1	1
4169265	45991488	3	4
4142398	4239401	1	1
4126705	46066096	4	5
4126705	46281627	4	5
4151199	434762	3	3
4178367	37395715	3	8
4132867	4088622	10	10
4134141	4150843	7	8
4149615	4284324	5	5
4180628	35621808	9	12
4169265	46220498	3	4
4166540	4081298	5	6
4180627	4017599	7	11
4126705	46206010	4	5
4122141	45957401	3	3
4181063	43021950	4	6
4169265	36704210	3	4
4140861	4107918	5	5
4169265	45762617	6	7
4169265	46066426	3	4
4167272	4127871	1	1
4162723	4083457	5	5
4132867	4077237	10	12
4126705	35617856	4	5
4126705	46045234	4	5
4181192	4223565	2	2
4126705	46193475	4	5
4126705	46196363	4	5
4154739	4015631	5	9
4169265	46056271	3	4
4169265	37386911	3	4
4126705	36705535	4	5
4126705	46021798	4	5
4126705	46193970	4	5
4133001	4051951	3	3
4126705	46134352	4	5
4180653	42535336	7	7
4169265	37015350	3	4
4164347	37310027	2	2
4126705	46012602	4	5
4169265	46134372	3	4
4120768	4127519	1	1
4169265	46199599	3	4
4126705	46013655	4	5
4126705	36705102	4	5
4169265	37011410	3	4
4168332	40490884	4	5
4126705	46027294	4	5
4122113	42538221	2	2
4126705	46202114	4	5
4169265	46152566	3	4
4147566	4113735	3	3
4134131	4130827	2	2
4126705	46267260	4	5
4180627	4232879	5	8
4126705	46030349	4	5
4180627	4336604	4	7
4180628	760475	9	14
4126705	3665939	4	5
4169265	46209429	3	4
4180628	4030974	3	3
4169265	45997506	3	4
4146008	4139575	1	1
4126705	37004893	4	5
4126705	45991075	4	6
4126705	46051414	4	5
4180628	4204039	3	3
4169265	37210381	3	4
4169265	46259895	3	4
4175951	45766442	7	8
4150230	37310992	1	1
4133453	4024651	5	5
4157319	4247356	2	2
4126705	46260110	4	5
4169265	36708953	3	4
4145617	4285356	6	6
4129409	4105382	4	4
4126705	46184750	4	5
4180628	36716835	7	9
4169265	46278013	3	4
4181192	4158793	4	5
4126705	45993127	4	5
4126705	37013936	4	5
4126705	46123232	4	5
4157120	4207132	1	1
4178367	4345931	3	3
4169265	37391001	3	4
4172313	4122060	1	1
4124031	4128867	1	1
4181322	42539223	5	10
4169265	46019348	3	4
4153227	4153229	2	2
4134141	4049764	9	12
4159963	4127733	5	5
4122903	4090457	3	3
4126705	46057344	4	5
4169265	45996445	3	4
4149889	4234410	5	8
4180628	4149914	5	6
4181063	4125952	2	5
4179304	4182652	5	6
4150343	432428	1	1
4126705	46016984	4	5
4180627	4107272	5	5
4174342	4176978	1	1
4169265	46279887	3	4
4150554	37219281	5	5
4124783	4023225	8	8
4120665	45771461	4	4
4126705	46205765	4	5
4180628	4194781	4	4
4124729	4102556	1	1
4126705	37014917	4	5
4164150	46270869	3	3
4126705	46055454	4	5
4169265	37006256	3	4
4158189	4123728	4	4
4169265	46069407	3	4
4165792	4237295	8	8
4178431	4006447	2	3
4180628	4094111	6	9
4126705	46012402	4	5
4169265	36708569	3	4
4168335	37110601	4	4
4154739	45766948	5	9
4145192	4202424	1	1
4150554	4326588	10	10
4126705	46213610	4	5
4171266	4129959	2	2
4169265	46004353	3	4
4180627	4125477	3	8
4169265	45765162	5	6
4126705	42538004	3	6
4169265	46010041	3	4
4134149	4342017	4	4
4126705	45760161	4	4
4169265	45760103	4	4
4126705	46038569	4	5
4165913	4314118	5	5
4126705	46012333	4	5
4169265	46012631	3	4
4126705	46027093	4	5
4143592	4197409	5	5
4126705	46278713	4	5
4176642	4097901	3	3
4162870	4180624	3	3
4181664	44809182	5	5
4182155	44811778	1	1
4126705	46064851	4	5
4134141	4136830	7	10
4169265	46124473	3	4
4137062	37112838	7	7
4180628	4029265	3	3
4126705	46219346	4	5
4155313	4235747	2	2
4142310	4244202	5	9
4134141	4111439	10	11
4158189	4114347	4	5
4169265	46072631	3	4
4133312	4232262	2	2
4169265	46038499	3	4
4169265	45990979	3	4
4181322	4149103	5	5
4180628	37310626	8	8
4126705	46212139	4	5
4126705	46079789	4	4
4126705	505981	4	4
4126705	36704376	4	5
4130995	4129879	1	1
4126705	46152584	4	5
4126705	46096298	4	4
4125035	4284332	3	3
4126705	46002089	4	5
4169265	46037609	3	4
4156502	4123314	2	2
4132867	4197959	8	8
