ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
42033801	42050255	1	1
42046293	42078268	2	2
42007354	42013271	2	2
41987477	41995691	1	1
42056464	42055692	1	1
42006858	42000971	3	3
42019569	42025505	1	1
41970940	41980878	3	3
42003406	42015276	1	1
42032174	42032758	3	3
42020824	42027785	5	5
42046228	42069645	2	2
42056369	42079904	1	1
42084163	41907459	1	1
42006858	42011034	5	5
42018697	42027904	1	1
42539385	4025091	7	7
42033982	42041459	1	1
42006858	42010571	5	5
41987252	42005152	3	3
42020824	42029032	3	3
42054889	42053519	1	1
42033903	42054483	2	2
42006870	42013940	5	5
42018607	42027736	2	2
42018596	42022108	3	3
41987469	42004925	1	1
41970930	41973794	5	5
41970930	41975262	5	5
42035288	42041602	2	2
42084631	42063513	3	3
41970930	41991192	5	5
42001775	42014897	1	1
42057398	42083374	1	1
42035291	42037677	3	3
42035288	42040656	2	2
42002732	42016339	2	2
41970930	41977572	4	4
42046218	42061059	2	2
42035288	42041081	2	2
42020824	42028612	3	3
41970930	41975671	4	4
42018596	42026013	2	2
42084632	42072589	3	3
42032171	42033306	4	4
41987421	42001606	1	1
42046270	42069083	3	3
41987178	42003288	2	2
42538522	44804750	3	7
42046228	42075092	2	2
41970941	41973774	3	3
42046255	42079865	2	2
41974561	41991386	1	1
42006858	42008469	3	3
42021533	42034101	2	2
42084626	42083314	5	5
42006858	42014186	5	5
42006858	42008472	3	3
42007381	42013518	1	1
42035300	42035392	1	1
42033764	42049609	3	3
42527936	42527361	1	1
42033950	42047848	2	2
41999272	42008808	3	3
42046241	42066638	2	2
41971131	41981171	1	1
42046311	42061019	2	2
41970932	41977755	3	3
41970930	41982116	3	3
41970942	41984331	3	3
42084632	42080087	3	3
41970930	41985400	4	4
42033764	42042256	3	3
42084632	42065969	3	3
41970944	42084427	3	3
42006870	42010722	4	4
42028203	42030504	2	2
41970941	41993644	4	4
42033759	42051766	2	2
42006870	42013218	4	4
41970930	41987751	4	4
42031696	42031976	1	1
41970930	41989536	4	4
42046232	42068763	2	2
41970932	41982220	4	4
42006858	42006991	2	2
42046228	42062277	2	2
41996632	42006755	1	1
42046265	42081968	2	2
42033982	42052489	1	1
41970930	41982201	5	5
42032174	42032728	3	3
42018745	42021782	1	1
42035288	42049854	2	2
42006858	42013077	4	4
42006858	42005684	5	5
42034315	42048684	1	1
42006858	42014054	5	5
42035291	42035908	3	3
42033801	42051733	1	1
41970941	41978642	3	3
41972180	41973722	1	1
42084626	42059452	4	4
42035300	42045504	1	1
42084626	42068003	4	4
41987215	42001058	2	2
42046237	42073274	2	2
42033764	42039690	2	2
42056910	42077142	1	1
41971597	41981459	1	1
41987392	41997497	1	1
42539385	4025406	7	7
42046270	42059357	2	2
41999289	42006840	2	2
41987368	42000774	1	1
42539385	4024941	6	6
42084632	42083819	4	4
41970930	41983137	5	5
41970930	41985146	5	5
41970930	41960848	3	3
42046289	42078447	2	2
42056870	42066208	1	1
42084632	42064733	4	4
42006858	42003369	4	4
41970930	41982994	4	4
42538522	40481985	6	8
41970930	41985226	5	5
42046228	42073697	2	2
41975269	41985857	1	1
42055635	42060321	1	1
42046196	42051924	2	2
42032171	42032487	4	4
42046255	42080116	2	2
42035288	42049914	2	2
42032174	42033599	3	3
41970930	41972157	3	3
42018596	42027850	2	2
42006870	42004442	4	4
41971325	41975523	1	1
41976327	41992365	2	2
42004705	42017945	1	1
42084632	42060245	3	3
42006870	42002777	4	4
42035288	42037056	2	2
42020824	42026018	3	3
42018935	42020815	4	4
42006858	42013530	5	5
41970930	41993521	5	5
42057533	42081509	1	1
42046266	42072272	2	2
42035302	42050156	1	1
41970930	41973501	4	4
41970930	41989376	5	5
42035288	42036626	2	2
42006858	42012749	5	5
42020824	42025439	3	3
42035288	42040466	2	2
42006870	42012339	4	4
42539385	45772915	4	4
42035288	42045734	2	2
41970932	41979482	4	4
42032171	42033035	4	4
42033903	42039765	2	2
42538522	45766162	6	6
42006870	42010481	4	4
42035302	42045132	1	1
42033801	42050667	1	1
42020824	42026394	3	3
42020824	42018745	2	2
42538522	4197259	6	6
41970930	41982510	4	4
41970940	41986303	4	4
42063616	42083885	1	1
42035299	42043718	1	1
41970941	41975829	3	3
42539385	4044599	3	3
42020824	42025293	3	3
42035288	42036781	2	2
41987308	42004066	1	1
42020824	42027082	3	3
42007354	42013493	1	1
42032171	42033853	4	4
41987255	41998834	2	2
42084631	42073024	4	4
42035288	42043895	2	2
41970930	41976437	4	4
42034120	42050460	1	1
42006858	42006204	4	4
41970930	41977563	4	4
42018607	42025175	2	2
42006870	42003495	4	4
42084632	42056248	3	3
42056528	42075808	2	2
42033801	42048241	1	1
42033764	42051184	2	2
42538920	42538922	1	1
42018745	42025639	1	1
42035288	42036316	2	2
41988297	41993480	1	1
41970944	41986090	3	3
42035288	42043726	2	2
42000172	42018100	2	2
41970930	41981245	4	4
42084626	42071641	5	5
42018653	42022377	2	2
42032171	42032792	4	4
42006870	42003409	4	4
41970930	41983363	4	4
42032171	42035219	4	4
41987494	41996002	1	1
41970930	41983598	5	5
42004942	42011451	1	1
42035300	42036832	1	1
41987305	41998092	1	1
42006870	42009725	4	4
42046237	42077806	2	2
42032289	42032955	1	1
42006870	42010165	4	4
42046270	42076522	3	3
42057057	42076296	1	1
42018737	42029392	1	1
42034316	42043484	1	1
42019176	42084470	2	2
41987473	42006593	2	2
42030054	42030638	1	1
42033836	42051833	2	2
42035299	42036820	1	1
41970932	41971466	4	4
42035288	42036824	2	2
42046265	42075888	2	2
42033803	42043973	1	1
42084631	42067975	3	3
42020824	42019436	3	3
41970930	41992378	4	4
42006858	42014104	5	5
42539329	42538436	3	3
42046252	42055945	1	1
42035291	42047214	3	3
42539385	4023708	5	5
42014346	42016250	3	3
42035288	42048165	2	2
41987215	42004473	2	2
42031000	42031917	4	4
41970932	41972456	3	3
42033902	42048868	2	2
41970932	41960711	2	2
42034409	42037780	1	1
41970949	41991726	2	2
42084631	42067009	3	3
42034401	42052505	1	1
42019510	42028447	1	1
42046232	42061503	2	2
42084631	42061075	3	3
42014370	42014993	1	1
41970932	41990427	4	4
42539385	4025394	6	6
42084626	42057902	4	4
42020825	42024128	2	2
42021486	42035215	2	2
42056391	42062325	1	1
42084631	42070808	3	3
41970930	41986277	4	4
42046289	42074026	2	2
42536747	4347559	2	2
42035291	42050452	3	3
42018653	42027238	2	2
42020824	42018697	2	2
41989783	41987018	1	1
42006858	42007876	4	4
42046237	42077353	2	2
42006870	42012460	5	5
42034044	42038089	1	1
42032174	42034887	3	3
42084632	42057487	2	2
41970930	41971498	3	3
41970930	41982207	4	4
41979170	41988327	1	1
42020824	42029746	3	3
42019531	42022262	1	1
42056487	42083658	2	2
42084626	42078496	4	4
41970930	41975308	4	4
42020824	42028249	3	3
