ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4142670	4009819	2	2
4130375	4111648	2	3
4137349	4136543	1	1
4182161	4278095	3	7
4132885	4156634	2	2
4124754	4106249	5	5
4132886	4025608	9	12
4125334	45763506	3	3
4132647	4021730	5	5
4124578	37304033	4	6
4179858	4008920	5	6
4181663	37395437	4	4
4180169	4322815	4	8
4181338	4181332	1	1
4182161	4178964	4	4
4152154	4202451	2	2
4125334	45757964	2	2
4125302	4180440	1	1
4168498	4047270	3	5
4118958	4149106	2	2
4181062	4292535	4	4
4176946	443284	3	4
4117930	192581	4	9
4173971	198372	4	5
4168155	4238311	3	4
4145505	4112194	3	3
4144227	4281527	5	5
4154598	4218111	2	2
4173971	136656	2	2
4179874	44788000	2	2
4129506	4274567	5	5
4141529	4206388	3	3
4182161	4033642	5	8
4180941	40479317	4	6
4148636	4206756	3	3
4140257	44782960	1	1
4178953	4081669	5	5
4132887	4211522	2	2
4160302	4296324	2	2
4145913	4281462	4	4
4156363	4077127	4	4
4165747	4162917	7	7
4178818	4066373	4	4
4116236	4089655	3	3
4152154	4196170	4	5
4148769	4235124	3	3
4179874	4079557	6	6
4176793	4245346	2	2
4178597	4080378	5	7
4117930	43021053	5	9
4127269	4128955	3	3
4155793	4019323	3	8
4149006	44794414	1	1
4178818	4002819	4	4
4141888	4278151	2	2
4151201	35624484	2	2
4180154	35623819	7	7
4180169	40480545	6	7
4149355	4189055	5	5
4134455	4102485	4	5
4167217	4327593	4	4
4177097	35624460	1	1
4182161	4316056	6	6
4179873	4270770	2	2
4132420	4131317	4	5
4133002	4253626	3	3
4181663	4201708	6	6
4117930	4054505	4	6
4122251	40490308	4	4
4180941	4161945	3	3
4150556	37112785	4	4
4162092	4195992	3	3
4166736	4165521	5	5
4129391	258482	2	2
4122013	4122703	2	2
4153255	37116625	2	2
4134598	4338296	4	6
4167217	4051247	1	1
4143324	4184082	1	1
4117930	4133589	7	7
4180158	4101624	2	2
4133964	4271040	4	4
4128822	4092114	1	1
4117930	4124678	6	6
4181663	4266613	5	5
4120956	4346722	5	5
4117930	40488844	9	10
4179874	4125407	3	3
4176634	36715402	5	6
4180169	442792	4	6
4124754	4110826	6	6
4179873	4043243	7	7
4181663	35610497	5	5
4180169	4186465	4	4
4177094	4299798	3	4
4118293	4309359	2	2
4129886	4114220	2	2
4167096	4033843	4	4
4165747	4203524	7	7
4134134	4054853	4	4
4152154	37208561	4	4
4117930	4291799	9	10
4166736	4059762	7	7
4166736	4352488	6	8
4181663	35609618	5	8
4160012	4087700	3	3
4134440	3655107	6	6
4140681	4291774	1	1
4130986	35610411	1	1
4155070	4127030	3	3
4179874	4081841	2	2
4149006	4084239	5	7
4164071	4118826	6	6
4131428	4242493	2	2
4124754	4222552	2	2
4158569	4052248	3	3
4141579	37114283	3	3
4132462	4031281	4	5
4182161	134651	4	6
4117930	4248557	5	5
4132865	36695883	5	5
4180158	35622309	2	2
4182347	4193700	2	2
4179874	4123507	4	4
4180648	4144200	3	3
4123631	37219148	1	1
4134150	4186310	3	3
4180941	4126611	4	4
4132865	4309308	6	6
4172281	37114815	7	8
4124392	37109164	3	3
4118989	4292380	4	5
4182161	764582	5	5
4176868	4057947	3	3
4178673	4338524	3	3
4162060	46271018	1	1
4121315	3655972	4	4
4165756	4157020	4	7
4182161	4087618	2	2
4155624	4031282	2	2
4165747	4230413	9	9
4179874	35616014	5	5
4166736	4004530	6	7
4125334	4128006	3	3
4171494	4290411	1	1
4150556	4216662	4	4
4131457	40488947	2	2
4127795	4128774	2	2
4181350	4115137	2	2
4177450	4183815	1	1
4155793	3657342	6	6
4116359	35608568	4	4
4165747	4016718	8	10
4179874	35616197	5	5
4134606	36675012	3	3
4116359	35615463	4	4
4117930	4098153	7	7
4117930	4270437	5	5
4127855	4312957	5	5
4178818	4140472	5	5
4163383	4170616	6	6
4118608	4122950	1	1
4132865	4281172	9	12
4162406	4045891	2	2
4128589	4137908	1	1
4161173	4309230	2	2
4132647	4049813	5	5
4182161	46270711	3	3
4138276	4017790	4	4
4149519	3038995	2	2
4178835	44808888	4	4
4117930	3655352	5	5
4117930	200153	5	8
4176801	4195903	5	5
4129506	4097514	7	8
4117930	4113456	10	12
4181217	765462	4	4
4162282	4173027	2	2
4145882	4069138	1	1
4134440	37312299	5	6
4180041	4175729	2	2
4134440	45769812	5	6
4165747	4016997	8	10
4180941	4135204	1	1
4173825	4096165	2	2
4165747	4348169	4	7
4132886	4164435	3	9
4166736	4060228	10	15
4123196	4107358	5	5
4150673	4117415	5	5
4170422	4200635	2	2
4129390	4085539	3	3
4147295	4182229	2	2
4117930	4209564	5	5
4117930	4035129	7	8
4180248	4036092	4	4
4180169	4198432	6	7
4177089	4328103	2	4
