ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4164071	4131489	5	5
4165747	4218847	8	10
4117930	4128399	4	10
4181663	4096419	6	6
4125334	40492457	5	5
4151913	45771155	5	5
4181495	4179691	1	1
4176939	4190935	3	4
4117930	4340935	6	6
4159952	4205575	3	3
4138294	434178	3	3
4124379	4074505	2	2
4182161	37207962	6	7
4180941	4052413	4	5
4165756	4302844	12	14
4162396	4086762	2	2
4180169	4262698	4	7
4165747	4259427	5	5
4134606	4005764	2	2
4179874	44804085	3	3
4168644	4165009	4	4
4134602	40479704	3	3
4173825	4136125	2	2
4177550	4153717	4	4
4155555	4158148	2	2
4146768	4225138	6	6
4179874	44804323	3	3
4126280	4066884	3	3
4134598	4063992	2	2
4133973	760593	6	6
4176947	4077897	1	1
4180146	4225889	2	2
4159716	35626257	4	4
4145977	4080217	3	4
4138286	4019065	1	1
4144960	4140935	2	2
4149454	4211225	5	5
4180765	42535651	3	3
4179871	4339221	4	5
4167648	4108549	1	1
4163025	4238182	5	5
4155793	4304713	4	6
4175809	4070451	2	2
4180941	44810379	2	2
4182161	4137573	5	5
4165747	4099971	3	5
4179874	4125547	4	4
4176946	4080995	2	2
4180765	4175356	2	2
4179874	35615628	5	5
4166716	4225372	6	6
4142662	4009066	1	1
4165756	46273579	12	13
4140303	4230407	2	2
4164183	4164178	3	3
4150507	4215107	1	1
4180507	37109522	2	2
4179873	4110107	4	4
4134598	4020323	2	3
4172515	3655005	2	2
4176644	36717441	2	4
4181663	37393909	4	7
4146567	36685665	6	6
4171829	3043701	1	1
4179874	4128772	4	4
4166736	4245169	4	9
4180169	374049	5	6
4168796	4229830	3	3
4162054	4278249	5	5
4161828	4338153	2	2
4117070	4291160	2	2
4135092	4135636	1	1
4148615	4153001	1	1
4180158	4030517	4	4
4147703	44803372	1	1
4179874	4114376	6	6
4120837	40480244	5	5
4165756	36714707	13	14
4117930	4284982	7	7
4166716	40482201	6	6
4132865	37117636	4	4
4179871	197230	3	5
4159230	4159391	1	1
4160550	4247637	3	3
4134598	4287859	6	6
4150760	4349389	3	3
4179955	4237283	1	1
4154125	4201718	6	6
4160266	4299799	2	4
4124388	4345928	1	1
4179873	36687021	4	4
4149355	3018342	4	4
4147164	40486654	4	4
4181663	37392183	4	4
4172281	4109738	2	2
4177703	4301169	2	3
4177089	4148815	2	3
4163026	4078052	2	2
4116817	4185801	3	4
4149355	3034080	5	5
4166736	37113660	5	9
4149355	4337515	5	5
4152517	4079377	3	3
4148033	4118506	5	5
4164344	4279752	3	3
4155793	36684424	3	4
4176801	40487128	2	2
4178818	4068628	4	5
4179874	44811303	4	4
4132883	4119962	6	8
4123621	4094452	5	7
4134440	35622071	5	11
4179858	4111598	6	6
4178818	46269830	4	5
4117930	194680	8	9
4170610	4320913	3	3
4141456	4125322	3	3
4181663	37393756	7	7
4180941	4342528	6	6
4155555	4165975	2	2
4165114	4019130	2	2
4155793	4109224	6	7
4180169	379818	2	5
4178818	4290736	5	5
4179874	4182479	4	4
4165747	4205930	5	6
4133437	37112208	1	1
4180151	4180150	1	1
4125334	45760676	2	2
4132623	44791587	3	3
4180941	4080247	4	4
4143312	4303045	3	3
4177851	4015767	3	4
4180158	36716427	2	2
4181663	37393546	3	6
4180158	37205067	2	2
4181914	40760973	1	1
4180941	40492254	3	3
4164183	4136415	3	3
4155302	46271138	3	3
4156025	4095791	1	1
4117930	4061049	8	12
4121493	4322979	2	2
4152464	4247922	4	5
4176644	36685129	3	7
4117930	43020921	8	11
4154769	4086979	1	1
4180941	4300756	3	3
4170047	37112526	10	15
4165747	4015661	6	8
4158558	37208857	4	4
4182347	4175760	5	5
4130851	36686254	4	5
4177890	4121152	2	2
4182161	37207957	7	7
4117930	4032460	7	12
4180091	4082590	1	1
4165756	4037972	10	10
4176801	4066965	4	4
4129028	4081720	2	2
4165747	4166193	8	10
4173435	4287697	4	4
4143337	35632177	2	2
4162054	4074326	5	5
4134598	40487148	4	5
4161058	4175335	2	2
4181663	44809352	6	7
4132462	4154690	4	4
4116997	4104525	4	4
4129143	4301050	3	3
4125334	4106456	4	4
4176967	4333467	3	3
4134148	40493485	4	4
4117930	45763756	8	9
4166716	4138823	6	6
4119537	4204955	4	4
4155793	4172858	4	5
4139502	4074484	2	2
4180169	36713310	3	6
4177089	4073532	1	1
4160360	36714088	4	6
4141236	4334393	1	1
4166680	4184929	1	1
4155555	4157114	2	2
4182161	4218629	4	6
4173825	4096178	2	2
4162827	4016593	2	2
4125334	4107151	4	4
4181663	44782825	6	6
4136489	4124222	2	2
4182161	765310	4	5
4116635	4119463	5	5
4133151	4098013	4	4
4180619	4107266	2	2
4165747	4161795	7	8
4180941	4021929	3	3
4120843	4147439	2	2
4140288	4087582	3	3
4178818	4254512	6	6
4159165	37209548	2	2
4125334	45763401	2	2
4127174	4120502	4	4
4123402	44807788	1	1
4127120	4091563	8	8
4177406	4092597	9	9
4176947	4110132	4	4
4163026	4013042	4	6
4130003	762869	3	3
4181326	37109671	1	1
4178904	4087017	5	5
4128944	4180473	4	4
4143811	4112194	2	2
4169307	4241527	1	1
4132926	762293	5	5
4124260	44792599	1	1
4163017	4329162	3	4
4142591	4214808	1	1
4177094	4138610	1	1
4168644	4168568	4	4
4178818	37399021	5	8
4149096	4285374	2	2
4141529	4229358	3	3
4181663	4353706	6	6
4134598	4064249	7	7
4121846	37113960	1	1
4172024	4168896	6	7
4146567	44795077	5	5
4155794	4346723	2	2
4166406	37016286	4	4
4173914	4331951	2	2
4155555	4155874	2	2
4144212	4225216	4	4
4178966	4115272	2	2
4179011	4180537	4	4
4126952	4229770	1	1
4125334	45760675	2	2
4125334	45759780	3	3
4152156	313902	5	6
4179873	45763802	5	7
4149519	3044219	2	2
4148631	4215940	3	3
4167471	4164999	1	1
4116359	35621579	4	4
4179874	37116239	2	2
4170962	4260194	4	4
4179234	4177060	1	1
4180941	4071954	4	5
4151307	4112227	2	2
4133837	4057491	1	1
4117930	4133585	6	6
4180941	4070245	2	2
4132886	4085400	5	5
4117930	4131291	6	6
4117930	42539466	7	7
4165756	4008867	3	5
4125334	45772405	5	5
4165747	4184296	8	10
4180794	4092069	5	5
4137366	4339383	3	3
4179874	4182828	4	4
4178818	37017278	9	9
4165756	37119242	3	6
4172515	4059844	5	5
4125334	45771637	6	6
4123985	4005199	2	2
4173573	4243000	1	1
4144078	4214990	3	3
4117291	4062778	1	1
4166736	4071873	11	16
4152517	4156190	2	2
4132926	4280657	5	7
4178673	4175014	3	3
4165747	37204320	6	7
4117070	42538033	3	3
4155484	36686149	3	3
4130526	4029426	4	4
4144212	4161940	2	2
4150049	4046453	2	3
4117930	762753	4	6
4163017	37117951	3	3
4172595	4252413	2	2
4116359	36689222	4	4
4168644	3667051	2	2
4176799	4148925	2	2
4142468	4101405	2	2
4168070	259043	1	1
4172515	4303846	4	4
4130375	4116349	3	3
4129506	4253503	5	5
4121841	4138781	1	1
4178835	4138490	5	5
4145050	4212045	2	2
4170962	36684575	6	6
4134540	4114299	1	1
4137392	4211981	2	2
4130851	37209105	5	9
4169920	4349277	3	5
4117930	4130366	5	5
4162827	4338533	2	2
4173971	3654648	3	3
4181326	35622946	2	2
4156081	4263612	5	7
4177669	44800216	4	4
4157463	37115048	4	4
4117930	4342900	7	8
4181663	4264431	5	6
4180941	4087097	7	9
4130851	4048846	3	5
4155793	4229848	2	2
4165756	45769188	4	4
4143957	4102017	2	2
4179874	37116188	2	2
4181188	37312009	1	1
4132247	4122281	4	5
4164489	43020874	2	3
4174389	4261768	4	4
4160550	4343020	3	3
4170047	42538864	5	5
4177089	4190310	3	5
4176794	40490940	3	3
4179874	35616247	5	5
4163017	4141526	2	2
4167153	4274646	1	1
4180941	4121913	2	2
4143312	4009494	3	3
4134598	4184913	3	6
4172281	4141785	7	9
4145442	4123297	2	2
4182161	36717464	5	6
4134598	4030239	4	4
4180154	4047649	7	8
4134455	42535463	4	5
4154801	3654321	2	2
4166716	4297876	6	6
4172281	4031039	10	10
4179874	37115821	2	2
4181914	3019370	1	1
4181663	37398713	2	7
4116856	4131958	2	2
4123431	4122964	3	3
4132865	4027884	4	4
4178824	4180637	1	1
4182020	4198376	1	1
4162054	4177641	6	7
4172024	4299543	3	4
4155794	40493496	4	4
4181663	4230176	4	4
4180169	37016338	4	5
4166406	4220340	4	4
4177237	4155169	1	1
4132886	4084696	5	8
4160360	4174026	4	5
4162827	4014979	2	2
4121039	4090952	1	1
4181663	4233618	6	6
4119158	4135712	1	1
4120302	46269711	2	2
4143312	4329727	3	3
4140303	4236274	2	2
4134602	4070832	3	3
4180941	4346074	2	2
4182161	4002684	5	7
4117930	4058526	5	12
4170962	4144753	3	3
4151240	4127554	1	1
4162282	45763750	7	7
4132886	4253923	5	10
4178818	381573	5	5
4180158	4049095	7	7
4141748	4282380	3	3
4162054	4256484	3	6
4180770	43531595	2	2
