ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
36208195	36031603	1	1
36210656	36304212	1	2
36208195	3001334	1	1
36208195	3018805	1	1
36208195	3034979	1	1
36208195	3046175	1	1
36208195	3017062	1	1
36208195	1001709	1	1
36207528	3043521	2	3
36206173	3032165	2	2
36208195	3022917	1	1
36206173	3012988	2	6
36206173	40764011	2	2
36206173	40770408	2	2
36206173	1175346	2	2
36206173	3019941	2	2
36208195	3021191	1	1
36206173	36031816	2	2
36206173	3045140	2	2
36208195	3018499	1	1
36208195	3017570	1	1
36206173	36031432	2	2
36208195	36305513	1	1
36208195	40762159	1	1
36208195	36203372	1	2
36206173	3005282	2	2
36206173	3015174	2	2
36206173	3007664	2	2
36206173	3020556	2	2
36206173	36204264	2	6
36208195	1761342	1	1
36208195	36305250	1	2
36208195	40764027	1	1
36206173	3045360	3	5
36206173	1989504	2	2
36206173	3039034	2	2
36206173	21494813	2	2
36210656	3052245	1	1
36208195	1001988	1	1
36206173	3006877	2	2
36207528	3044080	2	5
36206173	3008701	2	2
36206173	3017227	2	2
36208195	43533470	1	1
36206173	3006422	2	2
36208195	42529575	1	1
36208195	40765946	1	1
36206173	40759299	2	2
36208195	3023864	1	1
36206173	3017985	2	2
36208195	3049821	1	1
36206173	3028970	2	2
36208195	3036218	1	1
36208195	3001056	1	1
36208195	3052542	1	1
36208195	43533439	1	1
36206173	3042752	2	2
36208195	3010613	1	1
36206173	3026153	2	2
36206173	3015783	2	2
36206173	3009682	3	6
36208195	3011188	1	1
36206173	3049880	2	2
36208195	40760846	1	1
36206173	3001488	2	5
36206173	40759580	2	2
36206173	3046902	2	2
36208195	3013708	1	1
36208195	3037330	1	1
36208195	43534542	1	1
36208195	3011842	1	1
36208195	40757489	1	1
36206173	3003908	2	2
36208195	3021153	1	1
36208195	3045442	1	1
36206173	3017833	2	2
36210656	40757760	1	4
36208195	3000240	1	1
36210656	40757852	1	3
36206173	3012418	2	2
36206173	42529039	2	2
36207528	40758129	2	5
36206173	3003765	2	2
36206173	36203644	2	2
36208195	40762458	1	1
36208195	3047040	1	1
36208195	3034616	1	1
36206173	3052031	2	2
36206173	3007315	2	5
36206173	3018374	2	2
36207528	40760386	2	3
36206173	44816896	2	2
36208195	3044335	1	1
36208195	1175312	1	1
36208195	3007881	1	1
36208195	3052284	1	1
36208195	36204360	1	1
36208195	1616397	1	1
36206173	3032618	2	2
36208195	3048839	1	1
36208195	40766077	1	1
36210656	3043609	1	3
36208195	1988317	1	1
36206173	3033611	2	2
36208195	3001263	1	1
36206173	1616291	2	2
36208195	3014179	1	1
36208195	3007082	1	1
36208195	36304887	1	1
36206173	3049684	2	2
36206173	3018873	2	2
36206173	3004819	2	6
36208195	40762907	1	1
36207528	3050710	2	2
36208195	3016588	1	1
36206173	3031642	2	2
36206173	3006088	2	2
36206173	3025178	2	2
36208195	3001156	1	1
36206173	3026552	2	6
36206173	40761046	2	2
36207528	1761843	2	2
36206173	3000212	2	2
36210656	36305492	1	2
36206173	3003810	2	2
36208195	46236854	1	1
36208195	1002413	1	1
36206173	3002139	2	2
36208195	3032606	1	1
36206173	3032391	2	6
36208195	36303242	1	1
36208195	3028498	1	1
36208195	3016828	1	1
36210656	1761720	1	2
36208195	42868435	1	1
36206173	40762123	2	2
36208195	3019118	1	1
36208195	3002428	1	1
36206173	40765976	2	5
36206173	3001763	2	2
36208195	3017516	1	1
36208195	3017437	1	1
36208195	40764083	1	1
36206173	3005355	2	2
36210656	3042745	1	4
36206173	3020206	2	2
36206173	3012125	2	2
36206173	3010202	2	2
36208195	36303433	1	1
36208195	3014828	1	1
36206173	3040268	2	2
36206173	40761854	2	2
36208195	3009691	1	1
36206173	3014986	2	2
36206173	3043034	2	2
36208195	3035001	1	1
36207528	3042901	2	2
36210656	40760345	1	3
36208195	40765985	1	1
36208195	40766193	1	1
36208195	3007585	1	1
36208195	3035667	1	1
36206173	3020534	2	2
36206173	3023761	2	2
36206173	36204110	2	7
36206173	3049548	2	2
36206173	3007453	2	2
36206173	3003244	2	2
36208195	3045436	1	1
36208195	3037285	1	1
36208195	3048498	1	1
36207528	3043345	2	4
36206173	3002569	2	2
36206173	3022594	2	2
36206173	3015747	2	2
36206173	3045068	2	2
36206173	3013247	2	6
36208195	43534415	1	1
36206173	46236295	2	2
36208195	3028288	2	2
36208195	3017711	1	1
36210656	40757706	1	2
36206173	43055130	2	2
36206173	3019526	2	2
36208195	3031329	1	1
36206173	3051745	2	2
36206173	3011035	2	2
36206173	3025531	2	2
36208195	43534393	1	1
36206173	3025722	2	2
36210656	40758147	1	4
36206173	3025647	2	5
36208195	1761823	1	1
36208195	3038121	1	1
36207528	3049079	2	3
36208195	1175236	1	1
36206173	3034440	2	2
36208195	3008897	1	1
36206173	3039938	2	5
36206173	40762058	2	5
36208195	37020459	1	2
36208195	3042598	1	1
36208195	3012431	1	1
36206173	36204001	2	2
36206173	1175753	2	6
36208195	3004015	1	1
36206173	3037148	2	2
36208195	3034984	1	1
36208195	3032127	1	1
36206173	3019808	2	2
36206173	3036984	2	2
36208195	40762144	1	1
36206173	3005320	2	2
36208195	3048562	1	1
36208195	3019110	1	1
36208195	3042813	1	1
36206173	44816899	2	2
36208195	3019490	1	1
36208195	3028041	1	1
36206173	3039759	2	2
36207528	1761784	2	3
36208195	3032735	1	1
36206173	36204007	2	2
36208195	21494300	1	1
36206173	3014124	2	2
36208195	3019398	1	1
36206173	3034581	2	2
36208195	3011866	1	1
36206173	3042465	2	2
36207528	3051676	2	2
36206173	3006709	2	2
36208195	3014359	1	1
36206173	3013393	2	5
36206173	40762482	2	2
36206173	3004114	2	2
36208195	40761057	1	1
36208195	3007766	1	1
36210656	3051951	1	1
36206173	3036367	2	2
36206173	3030983	2	2
36206173	21494301	2	2
36206173	3032284	2	2
36210656	3049097	1	1
36206173	3040840	2	9
36208195	3046694	1	1
36208195	3015457	1	1
36208195	3038509	1	1
36206173	3035891	2	2
36207527	3013999	1	1
36206173	3020946	2	2
36208195	40765938	1	1
36208195	46236932	1	1
36208195	3030920	1	1
36206173	3034705	2	2
36206173	3003749	2	2
36208195	3011805	1	1
36208195	3002565	1	1
36206173	3011842	2	6
36206173	3026821	2	2
36206173	3003980	2	6
36208195	3010380	1	1
36206173	40761573	2	2
36208195	36031785	1	1
36208195	3012298	1	1
36208195	3048398	1	1
36208195	3053297	1	1
36206173	3023900	2	2
36206173	3031786	2	2
36206173	3003114	2	2
36206173	3010393	2	2
36206173	3043186	2	2
36207528	3042695	2	4
36206173	3026362	2	2
36208195	3029007	1	1
36206173	3028380	2	2
36208195	40761845	1	1
36208195	3036867	1	1
36206173	46236826	2	2
36206173	3007929	2	2
36206173	3002150	2	2
36208195	36031987	1	1
36207527	40762224	1	1
36206173	40757602	2	2
36206173	40760434	2	2
36206173	3008756	2	2
36206173	40760424	2	2
36207528	1761611	2	3
36206173	3052605	2	2
36208195	3051709	1	1
36206173	3007479	2	2
36208195	3035711	1	1
36206173	3026982	2	2
36206173	3001070	2	2
36207528	40757669	2	3
36210656	3044773	1	4
36208195	3034075	1	1
36208195	3000751	1	1
36206173	1002433	2	6
36208195	3041469	1	1
36206173	3009578	2	2
36208195	3035754	1	1
36206173	3020342	2	2
36206173	40764001	2	2
36208195	3033155	1	1
36206173	3002428	2	2
36208195	3037177	1	1
36208195	3002681	1	1
36208195	3032205	1	1
36208195	3042249	1	1
36206173	3028146	2	2
36206173	3026001	2	2
36208195	1616647	1	1
36208195	3011276	1	1
36208195	3042633	1	1
36208195	3002498	1	1
36208195	3029905	1	1
36208195	1175246	1	1
36207528	3046968	2	3
36208195	36204124	1	1
36206173	36305991	2	3
36207528	40758175	2	5
36206173	3017604	2	2
36208195	36203914	1	1
36206173	3018223	2	6
36206173	3042406	2	2
36210656	1761691	1	2
36208195	3021893	1	1
36208195	3044382	1	1
36206173	46235603	2	2
36206173	1175537	2	6
36207528	36303663	2	3
36208195	36203927	1	1
36208195	3013758	1	1
36208195	40766256	1	1
36210656	40758178	1	4
36210656	1761843	1	1
36208195	3041073	1	1
36206173	3030158	2	2
36206173	3020553	2	2
36206173	3038258	2	2
36206173	3039872	2	2
36206173	3015969	2	2
36210656	3053154	1	1
36208195	3015106	1	1
36208195	3032165	1	1
36206173	3037341	2	2
36206173	3034219	2	2
36208195	1002090	1	1
36206173	3043014	2	2
36206173	3003884	2	2
36208195	3015646	1	1
36206173	3041649	2	2
36208195	42869332	1	1
36208195	3022332	1	1
36208195	40759434	1	1
36206173	3019365	2	6
36206173	3027231	2	5
36206173	40758454	2	2
36208195	3001921	1	1
36206173	40767675	2	2
36208195	3005072	1	1
36206173	44816715	2	2
36206173	40762068	2	2
36206173	3013049	2	2
36206173	3040147	2	2
36206173	3028147	2	2
36206173	3017605	2	2
36208195	3020916	1	1
36208195	3044215	1	1
36208195	42529569	1	1
36206173	40758041	2	2
36206173	3044591	2	2
36206173	3014960	2	2
36208195	42528888	1	1
36208195	42528690	1	1
36210656	3044504	1	3
36208195	3002163	1	1
36206173	42869332	2	2
36206173	21494279	2	2
36206173	3000627	2	2
36208195	3022146	1	1
36206173	3006510	2	2
36206173	3045748	2	2
36208195	3026648	1	1
36206173	3007685	2	6
36207528	40761278	2	5
36208195	21494798	1	1
36206173	40760110	2	2
36208195	3000656	1	1
36208195	3030311	1	1
36208195	3025391	1	1
36208195	3030901	1	1
36208195	3051948	1	1
36208195	40769529	1	1
36208195	3018932	1	1
36208195	44816753	1	1
36206173	3015076	2	5
36208195	36660709	1	1
36208195	3030313	1	1
36206173	40760512	2	2
36206173	43534276	2	5
36208195	3040696	1	1
36206173	3016235	2	2
36208195	3006602	1	1
36206173	36660305	2	2
36208195	3016448	1	1
36208195	3049504	1	1
36208195	3009740	1	1
36208195	43534333	1	1
36210656	3044080	1	4
36206173	1988598	2	2
36206173	3043446	2	2
36210656	40761231	1	1
36206173	36660156	2	2
36208195	40762061	1	1
36206173	43533417	2	5
36208195	3005842	1	1
36206173	3034902	2	2
36206173	3027624	2	2
36208195	3049355	1	1
36208195	3012453	1	1
36206173	3011123	2	2
36208195	36305021	1	1
36210656	3046384	1	4
36208195	3036192	1	1
36206173	3011866	2	2
36206173	3025236	2	2
36206173	3024860	2	2
36208195	3013304	1	1
36208195	3003933	1	1
36208195	3005376	1	1
36206173	3030463	2	2
36206173	3009246	2	2
36206173	3029830	2	2
36208195	3027835	1	1
36208195	40768024	1	1
36208195	3023627	1	1
36208195	3007453	1	1
36208195	42528744	1	1
36208195	3011978	1	1
36206173	3046712	2	2
36207528	3044680	2	3
36208195	40766261	1	1
36206173	3051383	2	2
36206173	36204117	2	2
36206173	3032142	2	2
36208195	3032021	1	1
36208195	1761778	1	1
36208195	42529129	1	1
36206173	36204015	2	2
36208195	3034878	1	1
36206173	42868451	2	2
36206173	3017447	2	2
36208195	3023808	1	1
36206173	3002285	2	3
36206173	3034493	2	2
36208195	3015036	1	1
36208195	40763282	1	1
36206173	3006603	2	2
36206173	3020134	2	2
36207528	3051874	2	2
36208195	3041854	1	1
36208195	3025049	1	1
36208195	3045939	1	1
36206173	3029679	2	2
36208195	3019325	1	1
