ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4301255	4181715	2	2
4310109	37115136	9	11
4311115	374853	3	3
4307750	4212369	7	7
4300595	44782475	4	4
4300602	4025873	4	4
4297090	40759870	6	6
4321561	4074491	7	8
4307122	4310839	6	8
4301351	4041977	3	4
4301351	4233648	4	6
4290066	40487838	9	9
4267563	4173428	9	13
4279903	4146329	3	4
4290066	4010995	5	5
4310109	4197006	8	10
4301351	4244233	3	7
4297090	4279524	3	3
4282006	37112785	7	14
4301891	4109026	6	6
4314467	46031748	2	2
4306650	36674403	2	2
4297090	4085071	4	4
4280957	37219054	3	3
4307514	4295136	1	1
4300714	4208108	6	6
4321561	4076681	6	15
4305329	4175864	9	9
4321561	42538903	6	7
4297090	4182561	6	8
4312034	442147	2	2
4274025	4095536	4	8
4300602	4262262	4	10
4316083	4267555	2	2
4279903	35609293	2	3
4297090	3034030	7	8
4299510	4218811	4	4
4320796	4301817	4	4
4309433	4216180	3	3
4267563	44783936	7	7
4301351	4070482	7	12
4297090	3006202	6	6
4306073	4339497	3	3
4273456	4101515	2	3
4316083	444288	3	3
4306074	42538147	7	7
4294061	4244835	3	3
4274025	4318112	3	3
4267861	4353145	5	9
4302537	4146737	5	8
4269370	4320464	7	8
4321561	4272709	4	8
4269370	4278383	8	13
4318950	37118495	2	2
4301351	4179780	6	6
4312226	4008702	4	4
4267961	4267963	1	1
4267861	37110879	3	6
4308811	4300586	5	6
4301915	4169956	1	1
4308811	4300587	5	6
4274025	3655623	7	7
4300602	40491901	7	7
4279903	4071751	3	5
4297361	4297810	2	2
4297090	3002310	6	6
4310519	4177037	2	2
4279903	4172228	4	5
4312226	4266511	2	2
4313023	4075153	2	2
4308966	4027601	3	3
4302537	4186463	4	5
4320030	4121789	1	1
4270129	4115732	4	4
4299392	4088794	4	4
4297090	4136604	5	6
4306073	4280225	4	4
4320030	37108970	2	2
4301351	4021429	3	7
4275359	4035682	2	2
4297090	44816553	5	5
4279903	42538145	3	4
4274025	432508	4	4
4293033	4229108	2	2
4290066	46272220	8	8
4301351	4122323	1	1
4276423	4228146	1	1
4285602	4191109	2	2
4297090	3021539	6	6
4320796	4302976	4	4
4311115	4003693	5	5
4302537	4340229	4	5
4269370	4206635	9	14
4269370	4155983	8	15
4307750	4310016	9	9
4310912	763492	2	2
4318671	4278897	4	4
4293902	4046828	2	2
4294508	4192551	1	1
4297090	4061132	5	7
4267560	4297798	4	4
4297090	3039277	4	6
4310109	4325114	7	7
4297090	4171216	5	5
4269696	4277596	4	4
4270854	4123611	2	2
4297090	4098038	3	6
4279903	4329559	6	6
4321561	4088960	11	17
4269761	4302976	5	5
4297090	40761644	6	6
