ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4126705	46060371	4	5
4179304	4143011	3	3
4178676	43020939	5	5
4153380	761412	4	4
4169265	37391870	3	4
4151637	4056643	6	6
4121042	3657461	2	2
4126705	37388518	4	5
4134141	4177422	8	9
4156229	45764861	5	5
4169265	46012686	3	4
4169265	46048224	3	4
4169265	46203526	3	4
4140109	4338619	3	3
4169265	37218070	3	4
4180627	4180975	4	9
4126705	37217981	4	5
4126705	45992858	4	5
4126705	46038352	4	5
4180627	4003705	3	5
4182165	4316881	5	6
4126705	35614305	9	9
4181322	4217826	4	4
4180628	4258676	4	6
4179713	40492336	3	3
4134141	37112571	13	19
4169265	46122089	3	4
4126705	45989174	4	5
4169265	4309144	4	4
4169265	46155253	3	4
4169265	4251647	4	4
4169265	46064175	3	4
4126705	45772047	5	8
4156502	4037578	5	6
4126705	46072351	4	5
4159886	4089904	5	10
4168332	4211658	4	5
4156229	45772290	5	5
4120665	4070171	3	3
4180938	4302340	5	8
4169265	46071490	3	4
4174982	4058170	6	9
4116964	4094998	6	7
4138150	42536866	3	3
4140433	4105932	2	3
4126705	37385306	4	5
4157982	37113511	5	5
4168332	4205039	6	6
4139262	4021925	4	4
4156229	45758064	3	3
4134153	4233308	1	1
4126705	45772842	3	3
4126705	46060839	4	5
4139262	4207610	5	5
4169265	37004707	3	4
4141092	4146464	1	1
4126705	46152434	4	5
4126705	46259800	4	5
4161281	4225102	4	4
4167841	4177942	5	6
4180627	4233085	7	12
4167841	4009830	6	6
4126705	46204759	4	5
4126705	36705874	4	5
4169265	46029007	3	4
4169265	46019812	3	4
4169265	46122765	3	4
4159949	507218	9	9
4145825	4004290	4	4
4157866	37112902	5	5
4169265	37309433	3	4
4169265	36688958	3	4
4169265	46134419	3	4
4169265	46282514	3	4
4169265	46021403	3	4
4169265	46118945	3	4
4180627	4284111	4	8
4140433	4238666	2	2
4181193	4346309	5	5
4180628	37208280	6	7
4122633	4233863	6	7
4133963	4135053	4	5
4180627	4280378	5	11
4169265	45993559	3	5
4169265	46048572	3	4
4181671	4231271	2	2
4168332	4181657	3	4
4180628	4070172	5	5
4134141	4090596	10	10
4172458	4070648	1	1
4169265	45764056	5	7
4169265	36704886	3	4
4169265	46016090	3	4
4126705	46037733	4	5
4137544	40482230	3	3
4168335	4147014	5	5
4181187	37209449	5	7
4169265	46212559	3	4
4169265	46153062	3	4
4169265	46044596	3	4
4116634	4242036	4	4
4178676	4109486	5	5
4151638	4135870	4	4
4134141	4078615	11	17
4181659	4035727	2	2
4126705	45993588	4	5
4126705	45758715	5	7
4169265	46278721	3	4
4126705	46212027	4	5
4180627	4139742	4	4
4130033	4181352	1	1
4150851	4154450	5	5
4156229	45764372	3	3
4169265	46261230	3	4
4169265	45993645	3	4
4126705	46156182	4	5
4165781	4285053	5	5
4151638	4053610	2	2
4126705	46021401	4	5
4180653	4304735	3	3
4147213	37396383	5	5
4133034	4278903	6	15
4145617	37118697	9	11
4165387	4140385	1	1
4157120	4167734	1	1
