ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4301487	4055545	3	3
4321561	4309241	6	9
4310109	4158811	6	6
4297090	42870307	6	6
4299566	3656108	2	2
4297090	3020624	4	6
4297090	40762985	5	5
4305529	4352120	4	5
4301699	4129225	4	5
4310912	4300824	2	2
4299658	46271560	3	3
4294172	4104016	2	2
4312237	4300389	1	1
4307750	4170194	8	9
4297090	3025692	5	5
4298444	4002174	3	5
4321561	37112889	11	15
4307122	440432	3	4
4274025	36676899	4	6
4307750	4085337	8	8
4307750	4286025	5	10
4297090	4016502	4	7
4300602	4251785	4	11
4297090	3042290	6	6
4297090	3010998	9	11
4274025	4187734	6	6
4307122	140506	7	9
4311976	4270771	1	1
4279903	4267138	5	5
4321561	37113609	7	7
4301351	4063656	5	6
4290066	4024809	4	8
4299523	4120842	3	3
4282006	4169871	6	6
4297090	45773530	6	6
4304358	42535041	10	10
4308811	4241918	5	5
4297090	3019748	5	5
4271766	37399168	6	6
4274025	37394500	5	10
4271649	36685605	1	1
4297090	3000669	5	5
4300602	4213026	8	9
4300602	4306388	5	5
4274412	45769931	3	3
4269445	4286876	5	5
4307750	4222240	6	6
4269698	4217557	5	5
4293902	4124045	4	8
4293902	4195076	4	4
4305025	4173397	2	2
4309188	4340932	4	7
4310109	4197793	7	7
4305831	4054022	4	4
4279903	46274094	3	3
4297090	36675208	2	2
4293902	4165270	6	7
4311591	36686957	2	2
4304358	4099516	5	5
4282006	37115114	7	7
4271428	45995353	1	1
4274025	4177281	5	8
4306074	4170278	5	5
4293159	4067280	2	8
4267560	4314359	6	7
4297090	4214423	3	3
4307122	4082361	4	6
4305812	4083377	2	3
4297090	4197887	4	11
4304916	4104135	5	5
4304358	4091876	8	8
4301351	4077923	4	4
4312226	36714965	2	2
4304916	4193871	9	11
4279903	4133308	3	5
4308966	4027582	3	3
4309188	4224577	4	4
4274025	444276	3	3
4307750	4309812	6	6
4307817	4142898	5	5
4302537	4244189	5	7
4299658	46272320	2	2
4297090	44811819	6	6
4290066	4215684	6	6
4300948	37112071	2	2
4269877	4312532	4	5
4274414	46285310	1	1
4318516	4070162	5	5
4295705	4312324	2	2
4282628	37115177	6	6
4301351	4223107	5	8
4308966	4221538	3	8
4297090	3009721	5	5
4297090	37119226	5	5
4274025	4174467	5	8
4307122	42710036	6	6
4270273	37312287	5	5
4307750	40484236	9	9
4276268	4073608	5	5
4309188	4025318	6	8
4301351	4071771	3	6
4310109	4328904	9	18
4269877	4352496	5	7
4272860	44804591	4	4
4271450	4154698	1	1
4305025	4165841	3	3
4306074	4065590	6	6
4321561	4233855	4	7
4305529	4101417	3	4
4297090	3657278	8	8
4297249	4075160	4	4
4307756	4105936	3	7
4271032	36712836	6	7
4274025	46273452	5	9
4321592	44806335	2	2
4271766	37399603	7	7
4309188	760945	6	7
4297090	3019688	5	5
4295429	4033844	1	1
4297090	3029255	5	5
4274025	765272	4	6
4300602	4198047	5	5
4305380	4216014	5	5
4298253	46000933	1	1
4311739	42539651	4	4
4301351	40533268	3	5
4310614	4025882	1	1
4301351	4013503	4	8
4301351	40492339	2	8
4276587	44796084	3	3
4307254	4015988	4	4
4297090	3016145	5	5
4308966	4224080	5	5
4310109	4176257	5	5
4318067	4098086	1	1
4297090	3023948	6	7
4271134	4273942	1	1
4301351	4174584	4	4
4310109	4136206	5	6
4274025	36713572	3	6
4307750	4320462	7	7
4303986	44791611	4	6
4301351	3655200	6	9
4302003	37114538	3	3
4306758	4352620	7	7
4321561	37118304	10	14
4297090	4282452	4	4
4310553	35632200	2	2
4300814	42539706	2	2
4290161	37113791	3	3
4309063	46285111	3	3
4302675	4117322	3	3
4308966	4201605	4	4
4311736	37114146	2	2
4284814	4250777	2	2
4311115	44782475	5	8
4274025	4179323	4	7
4274025	4173972	8	9
4296373	4226702	5	5
4271645	44807297	5	6
4314251	4125709	1	1
4295902	46001262	1	1
4301351	4199267	5	7
4304358	4079456	8	9
4282628	4056221	7	9
4321561	4046453	7	10
4268012	4092919	4	4
4301891	4301949	3	3
4297090	40762274	6	6
4301351	35621837	3	7
4310401	37112062	1	1
4301699	4043729	4	6
4304358	37018735	3	3
4308966	4265472	3	4
4267563	4283313	10	14
4300714	4301966	4	4
4290066	40479845	9	9
4282006	35632417	6	6
4269370	4141734	8	10
4308811	4117896	5	5
4310109	37117988	7	12
4304358	4091885	7	7
4310109	4317943	9	10
4297090	4082872	6	8
4285280	37114338	5	5
4277921	43531723	2	2
4301351	4271316	4	6
4307750	4170409	2	2
4310109	37117316	9	13
4307750	4307851	9	9
4299510	4017009	6	6
4315393	4203904	2	2
4315036	40479217	2	2
4301351	4231743	4	5
4297090	44809793	3	8
4299510	4023097	4	4
4271032	4198423	4	4
4300602	4311031	9	9
4272228	4208256	2	2
4321561	4243634	6	11
4272860	4114249	4	4
4321561	4141173	7	15
4282628	4177876	5	5
4297090	4309861	5	9
4310109	4196202	5	8
4309188	4309545	5	7
4310109	4240773	8	11
4302993	4229063	4	4
4297090	44808592	5	6
4279224	4104756	1	1
4272405	4117185	2	2
4312545	4315799	2	2
4321561	37114252	7	16
4269877	37118526	6	9
4267553	4243358	2	4
4307756	4029382	2	6
4287399	4131119	3	3
4307750	4279611	5	11
4308966	4190678	8	8
4299510	4149253	3	3
4297090	40762954	4	4
4269306	44807928	2	2
4297090	3004352	4	4
4301351	44810245	5	7
4307750	4314142	7	7
4297090	3010517	7	8
4302537	4281683	6	8
4321561	37114945	4	4
4321561	4278097	11	14
4277585	4266533	2	2
4320796	46272349	2	2
4289309	4066746	2	2
4302537	46271772	6	6
4297090	4133753	6	7
4301351	4069371	2	6
4284964	4218467	3	3
4301351	40487933	2	4
4301351	44790436	5	9
4316083	4081232	2	2
4307750	4245393	7	7
4297090	4234273	3	3
4297090	3005570	4	7
4274025	4023472	6	7
4297090	3040752	5	5
4316083	37310078	5	5
4308966	40491509	9	9
4304358	4019800	2	3
4297090	4193271	4	6
4274025	443599	5	9
4275365	4206472	3	3
4316875	4317956	1	1
4303986	4275680	6	8
4275431	4288369	6	6
4300714	4190041	4	4
4308811	4221977	3	5
4301351	4212478	5	6
