ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
42084632	42077029	3	3
41970930	41992584	5	5
41987424	41996535	1	1
41971211	41940124	2	2
42018596	42022398	3	3
41970944	41972143	2	2
42046252	42055812	1	1
41970930	41980648	5	5
42535235	760581	1	1
41971426	41971862	1	1
42084626	42081034	4	4
42022739	42029342	1	1
42033801	42038400	1	1
41970944	41993020	5	5
41972223	41977687	1	1
42019510	42024401	1	1
42053966	42082857	1	1
41970930	41977290	4	4
42539614	4057194	2	2
42034216	42047719	1	1
41987215	41987337	1	1
42084632	42058084	3	3
42018653	42024570	2	2
41970930	41990614	5	5
41974295	41987637	1	1
41972921	41989286	1	1
42032174	42034746	3	3
42035288	42041257	2	2
42020824	42029150	4	4
41987477	41997864	1	1
41980241	41964687	1	1
41970930	41986495	4	4
41970941	41982721	3	3
42032174	42035004	3	3
41995088	41995279	2	2
41971226	41976580	1	1
42056489	42062642	1	1
41970940	41984734	4	4
42007354	42009689	1	1
441840	4126737	5	8
42020824	42026412	4	4
42020824	42023848	4	4
42084626	42075990	4	4
42084626	42070531	4	4
42018935	42020188	4	4
41974001	41983939	1	1
42046289	42057517	1	1
41971039	41976994	1	1
42020824	42027121	4	4
42046289	42076979	2	2
42055685	42062808	1	1
42020824	42022061	3	3
42539524	4052085	1	1
41999272	42008323	3	3
42018927	42023160	1	1
41970930	41993762	5	5
42046270	42058780	2	2
41970930	41982084	5	5
41970930	41978491	4	4
42084632	42062162	3	3
42035299	42045313	1	1
41970930	41984249	4	4
41980750	41989246	1	1
42035288	42041814	2	2
41970930	41983403	5	5
41999690	42018824	2	2
41970930	41984383	5	5
41987281	42003520	1	1
42054748	42076802	1	1
42539027	46269776	3	3
41987251	42004136	2	2
42084631	42066370	3	3
42539385	4037427	6	6
42029656	42030752	2	2
42539691	4299155	3	3
42046270	42074740	2	2
42006858	42007385	3	3
42057233	42072176	1	1
42018935	42019889	3	3
42536509	4048490	2	2
41970942	41990959	4	4
42003023	42014369	1	1
42046253	42083013	2	2
42021539	42033820	2	2
42538850	313980	2	2
42020824	42025856	4	4
42018607	42024426	2	2
42046228	42079914	2	2
42084626	42059656	4	4
42084632	42055256	2	2
41971045	41983876	2	2
42033900	42050573	1	1
42084631	42070108	3	3
42006858	42004823	3	3
41970944	41981761	2	2
42035299	42047893	1	1
41971498	41984176	2	2
42035291	42047052	3	3
42057613	42075487	1	1
42046218	42062991	2	2
41970930	41991800	5	5
41999250	42015097	3	3
42046289	42081793	2	2
42057468	42077857	1	1
42055201	42080683	1	1
41970930	41960133	4	4
42018596	42028885	2	2
42020824	42028277	3	3
42033974	42037788	2	2
42084631	42073273	3	3
41987178	41996006	2	2
41970930	41980365	5	5
42020824	42028775	3	3
42084632	42080380	3	3
42003972	42016956	1	1
42006858	42011108	4	4
