ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
42018890	42026593	1	1
41970943	41975559	3	3
42018608	42022280	3	3
42001879	42009525	2	2
42537889	4153162	7	7
42001879	42004774	2	2
41999306	42011276	3	3
42084637	42055950	2	2
41977070	41995017	3	3
42046186	42058463	5	5
42005325	42018732	1	1
42004562	42017860	1	1
42018943	42018955	1	1
42057312	42061576	1	1
42014331	42016807	2	2
42046299	42060863	2	2
42084633	42065921	3	3
42084628	42069950	4	4
42019174	42029811	2	2
42046186	42066756	5	5
41987173	41996867	3	3
42084636	42069956	3	3
42035286	42036047	5	5
42007327	42006217	1	1
42014404	42016459	1	1
42014353	42016147	3	3
42035286	42051433	5	5
42000240	42008745	1	1
42046290	42082761	2	2
42022013	42034217	1	1
41970945	41979654	3	3
42035286	42036269	5	5
41970938	41960710	1	1
42046312	42078551	2	2
42084628	42060165	4	4
41970945	41985322	3	3
41987173	41998054	4	4
42014354	42014777	2	2
41972641	41993156	1	1
42046186	42083410	6	6
42046186	42066407	5	5
42006869	42011450	3	3
41970938	41975104	2	2
42018608	42025521	3	3
42035287	42043496	4	4
42084629	42064356	4	4
42046186	42065981	5	5
42084634	42057138	2	2
42084635	42054653	2	2
42046284	42073747	2	2
41999306	42013744	3	3
42003274	42017107	2	2
42057138	42067193	1	1
41981902	41992555	1	1
42046186	42083550	6	6
42046186	42066450	5	5
41970943	41986079	3	3
42054762	42067822	1	1
42035287	42038936	3	3
42018749	42029336	1	1
42084627	42069829	4	4
42033954	42037410	2	2
42014335	42017308	2	2
42084629	42065801	4	4
42035286	42035436	3	3
42046186	42063412	5	5
41970952	41940337	2	2
41971446	41976854	1	1
42006861	42008240	2	2
42035286	42043664	3	3
42035286	42037752	3	3
42018636	42030180	2	2
41970952	41983421	3	3
42057341	42077467	1	1
42001879	42002201	2	2
42001879	42010421	2	2
42035287	42053178	4	4
41970937	41973720	3	3
42046310	42067592	2	2
42014353	42018224	4	4
41987173	41987480	2	2
42084627	42075711	4	4
42084633	42063293	3	3
41970938	41984239	3	3
42035303	42052886	1	1
42035287	42045566	3	3
42084627	42079294	4	4
42046186	42063991	5	5
42046309	42056428	1	1
42046186	42054175	4	4
42084637	42079365	3	3
42001879	42012019	2	2
41989586	41994143	1	1
42084637	42068176	3	3
41987239	41997997	2	2
42018686	42025516	1	1
42046186	42057249	4	4
42035286	42044025	3	3
42535234	760424	2	2
42084628	42062963	4	4
42014331	42017728	3	3
42046186	42068168	5	5
42035286	42041684	3	3
42084637	42065349	3	3
42084627	42059284	4	4
41999306	42004935	3	3
41987173	41997802	4	4
42084627	42062733	5	5
42084638	42076341	3	3
42084637	42066831	3	3
42084627	42083569	5	5
41970931	41992088	5	5
42035286	42043623	5	5
42084627	42069729	4	4
42046193	42046561	1	1
42084627	42082714	5	5
42046313	42079432	2	2
42006871	42000379	2	2
42035287	42045224	4	4
42001732	42007372	1	1
42084635	42057450	2	2
42084633	42077928	3	3
42046186	42056647	4	4
42046186	42059313	5	5
41970934	41989199	3	3
42032251	42034286	1	1
42046299	42061753	2	2
42018849	42021774	1	1
42035287	42037355	4	4
42000960	42008296	1	1
42035287	42052018	4	4
42072843	42083576	1	1
42035286	42036812	3	3
42033767	42047077	2	2
42084627	42081015	4	4
42035304	42049569	1	1
42035286	42048749	5	5
41999306	42009610	3	3
42035287	42035323	4	4
42018936	42020323	3	3
42084628	42056641	3	3
41987239	41996601	2	2
42035286	42036553	3	3
42084634	42056209	2	2
42021537	42033315	2	2
42035286	42050429	5	5
41970943	41988467	3	3
42035286	42041123	3	3
41999306	42010264	3	3
41981496	41988773	1	1
42535152	42535219	3	3
42018619	42023882	2	2
42084634	42059873	3	3
42002948	42015361	2	2
42535788	4200000	3	3
42046186	42054842	4	4
41970943	41985223	4	4
41987173	42006622	5	5
41999306	42006813	3	3
41987173	42004315	3	3
41970943	41972304	2	2
42084627	42080650	4	4
42084627	42061763	4	4
42034021	42037812	1	1
41970939	41981954	3	3
41970946	41980926	3	3
41970931	41991125	5	5
42084629	42073090	4	4
42046186	42069153	5	5
42046186	42066857	5	5
41999306	42011041	3	3
42019150	42084441	1	1
42033763	42051259	3	3
42035287	42052480	4	4
42035286	42050069	5	5
42006877	42000138	2	2
42046309	42056488	1	1
42046186	42065428	5	5
42084629	42076354	4	4
41987173	42002531	3	3
42046186	42064243	5	5
41987186	41996717	2	2
42537132	36695807	3	6
42033920	42047260	1	1
42006880	42007277	2	2
42005097	42014681	1	1
42084634	42066462	3	3
42020826	42023806	2	2
42055890	42061145	1	1
41987173	41996364	3	3
42035286	42045923	5	5
41970938	41985207	3	3
42046186	42069093	5	5
42046186	42069171	5	5
42084637	42060170	3	3
41970945	41973147	2	2
42046186	42065937	5	5
42018905	42028173	2	2
42046186	42057436	4	4
42007464	42012532	1	1
42084628	42076000	4	4
41985231	41990948	1	1
42018594	42030948	3	3
42537276	36696036	2	2
42018636	42024252	2	2
42046186	42064280	5	5
42046186	42074420	5	5
42019440	42022060	1	1
42046186	42076894	5	5
42084638	42061917	3	3
41987209	41996536	2	2
41987173	41997906	3	3
41987173	42003361	3	3
42018896	42030873	3	3
42018594	42030484	3	3
41987310	41999256	1	1
42035286	42042411	5	5
41970937	41983851	4	4
42046299	42069597	2	2
42084627	42060973	4	4
41999306	42013905	3	3
42084627	42068564	4	4
42035286	42041664	3	3
42528543	40770395	1	1
41988557	41989776	1	1
41971004	41976522	1	1
42035286	42037663	4	4
42084634	42059687	3	3
42084633	42082144	3	3
42046186	42065222	5	5
42084627	42061965	4	4
42035287	42052758	4	4
42056813	42073102	1	1
42033763	42035739	3	3
42052828	42079934	1	1
42018754	42029696	2	2
42046299	42067372	2	2
42030997	42032125	5	5
42033787	42044069	2	2
42057064	42059864	1	1
42034142	42044948	1	1
42046186	42067947	5	5
42538046	3662326	5	6
42035287	42042835	4	4
42032238	42034480	1	1
42033762	42042168	3	3
42046186	42058558	5	5
42014353	42017388	4	4
41987173	41998156	3	3
41970931	41977085	4	4
42003241	42017826	2	2
