ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
43531057	43020569	7	11
43531059	4028622	6	7
43531057	43022039	7	9
43531059	4139752	5	6
43531057	4186928	7	7
43531057	764594	5	6
43531054	4244669	3	3
43531059	4090724	4	6
43534083	43534154	1	1
43530967	4312358	3	3
43534618	37055701	1	1
43531057	4205441	7	8
43531064	441716	5	5
43531072	4130171	3	3
43531057	45768845	7	8
43531040	37113563	2	2
43531072	40480985	4	4
43531055	4312166	2	2
43531059	4318848	4	4
43531059	4124473	4	4
43531054	4241659	4	4
43531057	4106274	7	8
43531062	4107956	2	2
43531303	43531139	1	1
43530897	4171160	4	4
43530907	439322	3	3
43531059	4261372	5	7
43531072	43531695	4	4
43531073	4176327	5	5
43531411	4049220	1	1
43531044	4046729	1	1
43531153	4160433	2	2
43531057	37309630	7	7
43531072	4331602	5	6
43531051	37114901	4	7
43531057	4178542	5	5
43531055	4091790	5	6
43531057	4184827	4	8
43531059	4070648	4	4
43531059	4042511	6	9
43531054	4129902	2	2
43531057	4213379	6	6
43531051	4199149	3	3
43530907	4009642	3	3
43531072	4325593	3	3
43530897	4170348	4	4
43531059	4149084	4	5
43531044	37112108	3	3
43531054	45767661	4	5
43531055	4108473	3	3
43530908	43530962	2	2
43531059	4130697	4	4
376208	4014376	3	3
43531064	4130844	5	5
43531057	4048082	4	4
43531057	45763749	6	7
43531059	4003682	8	10
43531044	4266531	4	4
432795	4174943	4	5
43531057	4128492	3	3
43531057	4263812	5	5
43531054	4092614	3	3
43531057	4023950	9	9
43531051	37118348	4	4
601401	601404	1	1
43531051	4078627	9	10
43531051	4195885	3	3
43531059	4228665	4	4
43531072	4168396	5	6
43531055	36715915	4	4
43531059	4004158	6	7
43534618	37062195	1	1
43530897	4163789	4	4
43531057	4312283	6	10
43534083	43534244	1	1
43531051	37114975	6	8
43531045	4178975	4	4
43531057	43020945	6	6
43531072	4038480	4	4
43531054	4064819	1	1
43531051	4305785	6	6
43531054	35610156	4	5
43531059	45757264	4	5
43531057	77670	2	2
43531054	4239878	5	5
43534618	37063329	1	1
43531051	37115619	3	3
43531059	4089545	5	6
43531072	4033997	3	3
43531057	4133468	5	5
43531054	45767654	5	6
43531059	4153245	5	5
43531059	4129899	4	5
43531051	37112817	5	5
43531059	193261	3	3
43531059	4003320	5	6
43531057	36712719	6	11
43531054	35626026	3	5
43531057	43020880	6	8
43531057	4221503	8	11
43531051	37113096	4	4
43531057	4247524	5	6
43531051	4068128	3	3
43531040	37113574	4	4
43531057	4312701	7	7
43531059	4152943	5	6
43531057	4051134	6	6
43531054	4195406	3	3
43531059	4013329	7	8
43531054	37395835	4	4
43531059	4129147	3	4
43531072	4342001	4	4
43531057	44807895	7	7
43531057	4037941	8	8
43531051	37219251	5	15
43531057	253121	6	7
43534618	37045924	1	1
43531054	4241030	5	5
43531072	4263796	5	5
43531057	4302306	5	7
43530881	43530888	1	1
43534618	37055453	1	1
43531028	43531048	2	2
43531055	4055117	3	4
43531051	4232780	3	8
43531059	37209383	4	5
43531051	37115059	7	7
43531062	4100795	1	1
43531059	4063001	4	4
43530858	4107951	1	1
43531059	4323491	5	6
43531054	4119760	5	5
43531057	4282614	5	8
43531057	4092513	7	8
43531059	4129136	6	6
43531059	4091790	6	8
43531059	4196137	2	2
43531059	4277280	5	7
43531044	4149809	6	6
43531055	4006986	3	4
43531059	4230395	7	9
43531059	4300192	3	3
43531057	4175531	6	7
43531059	4275884	5	8
43530897	4291279	4	4
43531073	4112977	4	4
43531057	40488800	5	5
43531073	4336253	3	3
43531057	36716065	6	7
43531059	4095801	5	6
43531072	4073994	5	5
43531072	42872678	3	3
43531054	4057493	3	3
43531057	4142038	4	4
43531057	4245543	6	10
43531059	42536575	5	5
43531057	4067421	3	3
43531057	37118682	6	6
43530975	40490469	4	4
43531044	37113658	4	4
43531059	4131597	3	3
43531073	37115390	5	6
43531072	4102632	4	5
43531054	4280651	2	2
43531057	4115275	6	7
43531059	4271639	2	2
43531057	4161998	5	5
43531057	4315673	7	9
43531055	4345803	2	2
43531057	4151708	6	6
43531054	4034015	3	3
43534083	43534158	1	1
43531011	193323	1	1
43531051	4087987	6	10
43530975	4046111	1	1
43531059	4316749	6	7
43531059	4131279	4	4
43531057	4243269	6	8
43533814	43533812	1	1
43531028	43531047	3	3
43531057	4243424	6	8
43531073	4194608	7	8
43531072	4342507	5	6
43531057	43020792	6	6
43531059	4093308	5	6
43531059	4104346	5	5
43531040	37113604	4	4
43531055	4081910	3	3
43530897	4169215	4	4
43531059	4068502	3	3
43531057	40492475	6	9
43531044	37118308	4	4
43530975	4029441	4	4
43531051	4078847	4	4
43531072	40482709	4	6
43531044	4007127	4	4
43531072	4335041	3	3
43531057	44804757	8	9
43531072	4003053	3	3
43530897	4165011	5	5
43531031	4306278	2	2
43531051	4092435	6	10
43531059	40486544	6	8
43531072	37204192	4	4
43530975	4244356	3	3
43531051	37118447	5	6
43531059	44783285	8	11
43531059	4127035	3	3
43531057	4031503	6	6
43531040	4087833	3	3
43531059	4127831	4	5
43531059	4243741	6	8
43531057	4133992	7	7
43530897	4167124	4	4
43531057	434715	6	6
43531057	40491970	7	7
43531662	44811068	2	2
43534618	37040573	1	1
138239	37399301	6	6
43531051	4074933	4	4
43531055	4313516	3	5
43531059	35625029	6	6
43531054	4174108	2	2
43531057	314369	7	7
43530865	43530987	1	1
43534618	37029283	1	1
43531057	761473	6	6
43531054	4215452	3	3
43531072	4070557	4	4
133468	37209324	6	8
43531072	4180569	3	7
43531072	4282315	4	5
43531057	3655816	6	6
43530897	4165162	5	5
43531054	4137339	3	3
43531057	4030581	5	5
43531072	4130182	5	6
43531059	4245559	6	8
43531054	4130338	6	6
43530948	43530959	2	2
43531055	4266661	2	2
43531072	4238724	4	6
43531051	4228958	5	5
43531059	433689	6	7
43531059	4128193	3	4
43531057	4324835	9	9
43531059	37396804	5	7
43530897	3667045	4	4
43531059	4127069	5	6
43531051	37396951	8	14
43531054	4095158	4	7
43531059	35622339	7	10
43531057	36676674	7	7
43530897	4171163	3	3
43530975	36716138	7	7
43531051	4237052	4	6
43531059	198861	4	5
43531057	35622390	6	9
43530897	4166475	5	5
43531057	4103004	8	9
43530897	4307120	5	5
43531059	4288534	7	9
43531057	4195405	7	8
43531040	4087821	1	1
43531057	4232595	7	7
43531057	320737	6	6
43531054	42536563	1	1
43531054	4005608	3	3
43531055	4180780	5	5
43531054	4010232	4	5
43531057	4220661	5	6
43531072	4234429	5	5
43531059	45769863	4	4
43531051	37304152	5	10
43531057	4315801	6	6
43531055	4028781	2	2
43530857	42535897	2	2
43531059	4127400	4	5
43531072	4283658	5	5
43531057	257778	7	8
43531044	37112266	6	6
43531059	4129170	4	4
43531057	44782562	6	10
43531055	4153721	5	5
43534618	37058305	1	1
43531057	4246014	5	6
43531059	4240149	5	7
43531057	4326509	6	6
43531059	4128175	5	6
43531072	4187904	5	6
43531059	135890	5	6
43531057	4156627	6	6
43531059	4172511	6	7
43531057	4124546	7	8
43531057	4053008	6	6
43531072	4071096	3	3
43531073	4281179	11	15
43531054	4129547	6	6
43531059	196645	6	7
43531072	4221871	5	6
43531057	45768937	5	8
43531057	43020839	4	6
43531054	4234979	4	4
43531065	4206889	1	1
43531639	40480944	3	3
43531054	74422	3	3
43531055	36686152	3	4
43531057	45766076	10	11
43530975	4219588	6	7
43531072	4022439	3	3
43531059	4160328	3	3
43531059	43021608	5	5
43531054	4226862	3	4
43530950	443133	4	4
43531072	4238837	3	3
43531054	4340514	2	2
43531057	43020875	6	9
138239	36686461	6	8
43531057	4119461	8	8
43531057	4084968	3	3
43531059	4090740	4	5
43531054	4298980	3	3
43531072	4218438	4	4
43531059	37110273	5	8
43531054	4127722	2	2
43531051	4096234	10	11
43531057	4235892	3	3
194526	4174885	3	3
43531057	40486131	7	7
43531059	37311244	5	5
43531059	4219127	4	4
43530897	3667064	3	3
43530897	4164868	3	3
43531054	4127400	2	2
43531033	43531026	4	4
43530975	4096059	4	4
432795	4206885	5	8
43531059	37209604	5	6
43531059	765152	7	9
43531059	4276499	5	7
43531055	4050093	5	5
43531057	4110589	7	8
43531054	4314495	4	4
43530897	4114008	3	3
43531072	4268632	5	5
43531054	37205049	2	2
43530897	4165496	5	5
442562	4299378	2	2
43531059	4247332	5	7
43531059	4048434	5	7
43531051	37113328	10	11
43531059	4182144	3	4
43531059	4209597	5	6
43531057	43021598	6	8
43534618	37066106	1	1
43531040	4090280	2	2
43531057	4312282	6	10
43531051	4289544	2	2
43531051	4036948	4	4
43531055	437501	6	7
43531055	194802	2	4
43531040	37113594	3	3
43531073	4220088	7	7
43531055	4140828	4	4
43530897	4166012	5	5
43531059	4330224	3	3
43531045	4181849	1	1
43531057	4100136	6	7
43531054	4137754	3	3
43531057	43020494	9	11
43530897	4163913	4	4
43530897	4166492	4	4
43534618	37042372	1	1
43534618	37042684	1	1
43531051	4088134	6	7
43531059	42709932	6	8
43530897	4173379	4	4
43531054	37312672	3	3
43531057	4111565	7	7
43531057	4126889	5	5
141124	4109337	5	6
43531059	4246720	3	3
43531051	4353277	5	8
43531072	3655186	4	4
43531054	4194693	3	3
43531059	76153	5	6
43531057	45757063	5	5
43531054	4198778	2	2
43531059	45757342	4	5
43531057	4314623	6	6
43530975	40492016	4	4
43530975	4194993	4	4
43530900	4004785	1	1
43531057	40483337	7	9
43530975	4291925	5	5
43531059	4129150	3	3
43531057	72459	9	9
43531059	4099344	6	8
43531059	4243726	6	7
43531059	44806343	4	4
43531057	4242036	6	8
43531057	4009385	3	3
43531072	43531539	5	5
43531662	36716847	1	1
43531072	4207175	5	5
43531057	36686111	7	7
43531072	4071494	3	3
43531051	4110233	6	6
43531059	197095	5	8
43531072	35624541	6	6
43531059	4049497	6	7
43531057	4092013	6	6
43531072	4336690	6	6
43531057	43021477	4	4
43531059	4096542	4	4
43531057	4089462	7	7
43531153	46270277	3	3
432453	4080776	3	3
43530975	36714609	4	4
43531057	45766115	8	9
43531072	4163331	6	6
43531057	4161696	5	5
43531072	45769200	5	5
43531059	4244329	5	6
43534083	43534107	1	1
43531057	4297291	4	6
43531059	36676215	6	6
43534083	43534238	1	1
43531054	36716856	5	5
43531057	4116234	7	8
43531059	4317684	6	7
43530897	4173374	4	4
43531059	4124332	4	5
43531054	37116492	2	2
43531057	4243498	5	6
43530975	4030201	4	4
43534618	37043831	1	1
43530907	4280224	2	2
43531057	4126241	3	3
43531059	4211640	2	2
43531055	4148713	3	5
43531054	4089683	3	3
43531059	46271548	6	6
43531054	4239057	3	3
43534618	37037365	1	1
43531057	4159363	6	6
43531059	4158478	5	6
43531057	4070821	7	8
43531054	435484	5	5
43531054	35621808	6	8
43530897	3666989	3	3
43531054	4149811	2	2
43530975	4033063	6	7
43531054	196475	1	1
43531040	4280887	2	2
43531059	37116712	3	4
43531057	4110048	5	7
43531051	37115602	5	7
43531059	37203810	4	5
43531057	40489968	4	6
43531054	37209385	4	5
43531057	4065290	4	4
43531051	4179949	3	5
43530975	4082363	4	4
43531051	4312483	3	5
43534618	37041184	1	1
43531057	4239975	5	5
43531057	37208030	5	7
43531057	36716488	6	6
43534618	37050663	1	1
43531057	37203796	5	5
43531059	4104164	3	3
43531072	43531111	4	4
43530975	35624199	5	6
43531072	4143514	4	4
43531057	4035327	5	5
43531057	4188545	6	8
43530623	762090	4	4
43531059	4329444	4	5
43531051	37114172	4	7
43531051	4115714	3	3
43531057	45772946	5	6
43530897	4165639	4	5
43531059	4050836	5	7
43531057	42539687	5	5
43531059	80217	2	2
43531057	4182190	7	8
43530623	42535706	2	2
43531057	3655579	4	4
43531059	43531419	4	6
43530897	4165493	5	5
43531057	318549	6	6
43531064	4155485	5	5
43531059	4300387	7	8
43531057	43021993	6	7
43530817	73361	1	1
43531057	4199518	4	4
43531059	4111154	6	7
43531065	4100757	2	2
43531059	4242822	6	8
43531055	4221654	4	5
43531057	4317835	6	8
43531051	4308613	4	5
442099	765273	3	3
43531072	4303288	4	4
43531057	4203012	6	10
43534618	37035213	1	1
43531452	4330497	1	1
43531051	4089954	5	8
43530975	4221204	6	6
43531057	4223637	7	8
43531054	4034004	3	4
43531612	44784644	1	1
43531054	4198275	5	6
43531059	4289098	7	9
604317	37209118	6	7
43531044	4147875	7	7
43531051	4178206	4	4
43531051	4288609	6	10
43531057	4088987	8	8
43531057	4027246	7	9
43531169	4245368	4	4
43531057	43021306	7	9
43531057	40483747	6	8
43531057	4197087	9	9
43531051	37113352	5	5
443784	4053401	2	3
43531054	759876	5	7
43531059	4088582	5	6
