ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
36703867	36704464	1	1
36703868	46052656	1	1
36675054	4333008	6	6
36695581	37118402	4	4
36675054	4079947	3	4
36675054	4236632	7	7
36703914	36704838	1	1
36675054	4214325	5	6
36675054	4295152	4	4
36675054	4342518	6	9
36675054	37397405	5	10
36675054	4265029	7	8
36675054	4072809	6	8
36675054	4194514	4	5
36703917	37008909	1	1
36674202	37207998	2	2
36703913	46063489	1	1
36703867	46258948	1	1
36703917	36707287	1	1
36675054	4136780	7	7
36676207	36676210	1	1
36703919	46278623	1	1
36675054	4333425	3	3
36685712	45770538	1	1
36675054	4061729	6	8
438112	4116575	4	6
36675054	4143665	6	7
36675054	4120809	2	3
36675054	4069874	4	6
36675054	35609360	6	10
36675054	4123590	7	7
36703921	37006092	1	1
36675054	4075330	5	5
36703917	46029634	1	1
36675054	4168987	7	9
36703914	46077153	1	1
36675054	44812080	6	6
36703914	46037746	1	1
36675054	4160708	4	9
36675054	40489986	4	4
36703921	46045398	1	1
36675054	3657280	5	9
36306046	40758021	1	1
36675054	3655777	3	3
36675054	37111263	5	5
36675054	4190939	5	8
36675069	4199901	3	3
441840	35624510	6	6
36675054	4335220	5	6
36687178	36686972	1	1
36675054	4216377	10	10
36703917	37008262	1	1
36675054	4022943	5	7
36684823	36717258	1	1
36675054	4332588	6	6
608298	4305983	9	14
36675054	4273756	4	5
36703914	36705536	1	1
441840	4048048	4	9
36306015	40758194	1	1
36703917	46279128	1	1
36703914	46066545	1	1
36703917	37007761	1	1
36703867	46258962	1	1
36675054	4078551	7	7
36675054	4003571	5	5
36675054	4189589	8	10
36675054	4002217	4	5
36675054	37311101	8	9
36675054	4226700	4	8
441840	4284822	6	11
36703917	46029395	1	1
36703917	36707547	1	1
36305461	36032036	2	2
36306118	36304876	1	1
440029	194574	3	3
36703919	46024773	1	1
36675054	4071289	6	6
36675054	4001562	5	5
36684472	36717227	5	5
36685181	36685139	1	1
36675054	4332717	5	5
36703867	37008698	1	1
36675054	35621838	5	10
36675054	4190188	7	8
36703921	46031409	1	1
36675226	4008410	2	2
36703919	46025172	1	1
36703868	46261275	1	1
438112	4314359	5	8
36675054	4004270	4	6
36675054	40482844	3	3
441840	4113781	5	9
36675054	4204135	6	7
36304606	3046212	2	2
36306149	40758157	3	3
36675054	4272163	5	7
36675054	4339619	7	7
36675054	4134148	4	4
36675054	4244210	5	5
36675054	4150575	6	6
36675054	4077078	6	9
36684612	36713164	2	2
36675054	4042371	5	7
36675054	761970	5	7
36660894	36660761	1	1
36703917	46066653	1	1
36675054	4044755	5	6
36675054	4201632	4	4
36675054	4180893	5	7
36703921	46061697	1	1
36675054	4196015	4	8
36695971	37113920	5	5
441840	764937	5	9
36703921	46024620	1	1
36304606	3045052	2	2
36675054	4337182	8	8
36675054	4269632	6	7
441840	4130668	5	8
36703907	46075147	1	1
36675054	4073847	10	10
36660493	36659880	1	1
36695585	36695588	1	1
36703914	46279797	1	1
36675054	4086276	5	6
36675054	4068563	9	10
36304201	40761241	3	3
36675054	4061030	7	8
36675054	4206310	4	5
36675054	4178105	6	6
36675054	4126761	6	6
36703919	46052695	1	1
36703919	37008172	1	1
36304228	36306214	1	1
36661104	36660462	2	2
36661032	36660007	2	2
441840	765302	4	8
36675054	35609233	8	12
36703921	46057043	1	1
36694867	36694751	1	1
36684472	200052	1	1
36703868	46259560	1	1
36675054	4170911	7	8
36675054	4277927	5	6
36675054	4343468	7	7
36703879	46042028	1	1
36675054	37395132	8	8
36675054	36713626	4	7
36662595	715262	2	3
36675054	4219634	6	8
36675054	3662138	5	8
36703916	36687601	1	1
36675054	761912	4	7
36675054	37398866	6	7
36675054	42535392	7	8
36675054	4235016	4	4
36675054	4338661	4	9
36703913	46061213	1	1
36675054	4122709	6	8
36675054	42535573	3	6
36675054	36675127	5	8
36675054	4285868	4	8
140190	4003312	4	4
36703914	36704856	1	1
36675054	4273875	6	6
36675054	4248952	4	5
36675054	4221809	6	9
36703919	46060594	1	1
36703917	46053156	1	1
36703867	46060198	1	1
36703914	46052085	1	1
36703867	46258900	1	1
36675054	4347790	5	7
36675054	4142299	4	4
36675054	4330560	6	9
255919	608986	6	12
36703921	46057135	1	1
36675054	4149337	8	9
36675054	4045305	5	5
36675054	4096257	6	10
36703914	46038021	1	1
36303924	36204516	2	2
36675054	4051185	4	4
441737	442616	6	6
36675054	4187389	4	5
36675054	4028035	3	5
36660283	36660456	1	1
36675054	4229848	4	4
36662635	1617427	1	1
36683531	4180790	1	1
36675054	36685433	7	8
36675054	4226932	10	10
441840	4145811	8	9
36675054	4012931	8	9
36675054	4067929	6	10
36703914	46279783	1	1
36304612	36303366	3	3
36703919	46066420	1	1
36703914	36705534	1	1
36675054	4062258	6	7
36675054	37312259	5	7
36661357	36203865	3	3
36675054	4166203	4	7
36675054	4223241	2	5
36695906	35632335	1	1
36675054	4010244	5	6
36675054	507184	9	13
36703917	46076809	1	1
36675054	4076019	6	11
36703867	3664264	1	1
36675054	4216463	6	7
36703921	37007528	1	1
36675054	4099251	8	9
36703914	46279719	1	1
36675054	4049836	5	5
36675054	4052415	3	3
36675054	4103146	2	2
36675054	4170288	5	6
36305795	36304611	1	1
36703917	46077047	1	1
36703910	46074895	1	1
36675054	4328016	4	9
36675054	4040718	4	4
36675054	4258705	5	6
36703921	46073968	1	1
36703922	37104198	1	1
36703882	46042208	1	1
36304612	36303915	4	4
36675054	4020087	8	9
36305959	36303506	2	2
36674567	36686027	2	2
36675054	4198143	7	10
36675054	4314771	4	6
194108	4177184	3	3
36703921	37007835	1	1
36305817	36659785	3	3
36675054	37118087	5	6
36675054	4074733	3	3
36675054	40489926	4	5
36675054	4003376	4	7
36685703	36685704	1	1
441840	4223453	4	7
36703921	46030186	1	1
36675054	4082972	10	13
36303596	40758090	2	2
36661032	36660106	1	1
36703867	46258949	1	1
36703877	37008599	1	1
36675054	4002213	7	7
36703917	36705023	1	1
36660599	36660455	2	2
36675054	4195928	6	7
36703917	46037486	1	1
36703921	46052786	1	1
36695777	37219227	1	1
36675054	4002053	4	6
36703874	46054887	1	1
36305042	40760364	1	1
36675054	4169305	8	13
36675054	40487561	5	5
36675054	4002558	6	7
36703921	46260725	1	1
36675054	4031295	6	8
36703909	46278332	1	1
36684305	42539072	1	1
36305402	36660604	2	2
36303766	44786859	1	1
36703914	36705505	1	1
36703910	36706425	1	1
36703921	36692790	1	1
36675054	4328148	4	7
36675054	4215758	6	6
36703921	46260650	1	1
36703873	46054954	1	1
36675054	44782964	5	7
36675054	4046570	3	5
36675054	4335314	9	10
36703921	46062702	1	1
441840	196468	4	11
36675054	4068690	4	6
36675054	42872655	5	6
36685223	36685225	2	2
36703921	46062458	1	1
36675054	4065582	5	12
36703867	36705343	1	1
36675054	4002527	4	5
36675054	506537	7	7
36675054	4146485	8	10
36684472	4162120	3	3
36675054	37118694	6	9
36703917	46073894	1	1
36695667	37303968	1	1
36703867	37006981	1	1
36703868	46060315	1	1
36675054	4334025	2	8
440921	40487453	3	3
36675054	4238220	4	5
36675054	4034804	5	10
36675054	4180889	7	9
36675054	4123585	8	10
36703867	37210632	1	1
36662595	1989453	2	3
36703881	46042034	1	1
36675054	4298487	6	7
36703874	46055261	1	1
36675054	4080168	3	3
36675054	4306679	4	7
36703868	36704661	1	1
36703921	46053022	1	1
77960	435098	4	5
36703909	46075034	1	1
36660618	36659694	1	1
36675054	4000608	6	6
36685223	761765	4	5
36675054	4114329	7	7
36675054	45770581	6	6
36675054	4146488	6	9
36675054	44809077	5	7
36675054	46273015	6	8
36662595	706168	2	3
36675054	4319293	6	7
195906	4195561	1	1
36675054	45770609	5	6
36703921	46260367	1	1
36703913	46061050	1	1
36675054	4339829	7	7
36703921	46259703	1	1
36703919	46278787	1	1
36703914	46077229	1	1
36675054	37204162	6	8
36675054	4035590	4	4
36305813	40760373	2	2
36675054	4183183	6	8
36675054	4161262	4	9
36675054	4147080	6	6
36675054	4233543	7	8
441840	4124077	6	6
36675054	4263082	6	6
36703917	36706878	1	1
36703919	46028971	1	1
36703913	46018109	1	1
36303836	3005819	1	1
36703919	46077734	1	1
36688252	36688255	1	1
36675054	37399388	5	5
36675054	4188478	5	10
441840	4245566	6	10
36675054	4223682	5	9
36675054	4065698	4	8
36675054	4290764	6	11
36703868	46259825	1	1
36703867	46259012	1	1
36684472	433143	4	4
444112	4320831	5	8
36703917	46076837	1	1
36675054	40479290	5	6
36703919	37008169	1	1
36675054	4331963	5	6
36675054	4117746	5	6
36675054	4143536	7	9
36675054	4077745	6	11
36303623	36204560	1	1
36675054	4087886	4	4
36675069	4180073	4	4
36675054	4263324	7	7
36675054	4081997	5	5
36675054	4220918	6	9
36675153	4157158	2	2
36675054	4099534	7	7
36703897	35618213	1	1
36703909	46042225	1	1
36683499	4154590	4	4
36675054	4203912	2	6
36305402	36660309	2	2
36675054	4235071	4	4
36685088	760040	3	3
36675054	4340644	5	6
36703868	3663968	1	1
36675105	36686534	2	2
36703868	37005648	1	1
36675054	4339196	7	11
195906	606561	2	3
36675054	44803315	5	5
36675054	4193919	6	8
36675054	36714602	5	9
36703921	46057480	1	1
36675054	4060512	6	8
36675054	40483705	5	7
36703868	36704670	1	1
36674877	36674889	1	1
36675054	4073851	6	9
36675054	4032106	5	5
36660724	36659873	1	1
36703874	46055265	1	1
36675054	4260832	4	4
36703917	46051433	1	1
36305795	40758025	3	3
36675054	4112445	2	2
36675054	40486945	4	4
36703914	46051507	1	1
36703919	46037174	1	1
36703921	46060428	1	1
36675054	4122596	5	7
36305109	36305345	1	1
36703907	3663510	1	1
36675054	45765549	4	7
36304674	36303277	1	1
36703921	37007299	1	1
36675054	44807810	7	10
36675054	4080797	4	4
36675054	4309029	4	4
36675054	4339949	6	6
36703868	46052902	1	1
36703919	46024796	1	1
36675054	4173640	5	7
36675054	4002390	5	5
36684150	4234205	1	1
36703919	46029921	1	1
36703919	46024696	1	1
36675054	4028673	4	4
36661357	1988339	3	3
36675054	4080092	4	8
36661357	3013153	3	3
36675054	4198775	5	6
441840	4171724	4	4
36703868	37385192	1	1
36675054	4068802	6	8
36675054	4216997	5	8
36675054	4073846	9	9
36675054	4061177	6	8
36675054	4207286	4	5
36703860	46057726	1	1
36660231	1176123	1	1
36703888	46055421	1	1
36703919	46066379	1	1
36675054	4299359	6	6
36703921	37005915	1	1
36675054	4117844	5	8
36675054	4087704	7	7
36703917	46278873	1	1
36675054	4040935	4	4
36675054	4211709	4	8
36675054	4023284	5	6
36675054	44813846	5	5
36703921	37007768	1	1
36675054	4066433	9	10
36703913	46018571	1	1
36703914	36704607	1	1
36703921	46260353	1	1
36703868	46261361	1	1
36703868	46259524	1	1
36675054	4069100	3	6
36675054	42537528	8	12
36703914	46076920	1	1
36675054	4343012	5	8
36703867	37210832	1	1
36303368	3053188	2	2
36675054	4337138	5	5
36675054	4143457	6	6
36675069	37111344	2	2
36703914	46066532	1	1
36703919	37005064	1	1
36304316	40758090	2	2
36675054	4277913	4	4
36675054	4293899	5	8
36703910	46055665	1	1
36695727	4145326	3	3
36304491	40758256	1	1
36703921	36705642	1	1
36703921	46051757	1	1
36662635	36031213	1	1
36305109	36303446	1	1
36703921	46260338	1	1
36675054	44789858	6	9
36675054	3655889	6	8
36703914	46066514	1	1
36675054	4030835	5	5
441840	44795884	10	10
36703864	46055346	1	1
36675054	4284687	4	7
36675054	4322178	7	7
36675054	37209054	5	5
36675054	4156234	5	8
36660599	36660298	3	3
36703917	46011163	1	1
