ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
439392	35624275	3	3
134057	36686414	4	7
441840	4124846	4	8
441840	602293	5	14
255919	376560	5	7
603224	620289	2	2
608741	4060660	7	7
441840	36717298	5	10
255919	4236742	5	8
441840	4066994	5	10
135930	4015221	5	10
381591	609082	3	3
141960	4055182	6	9
441840	46285511	4	5
441840	4102256	6	7
441840	4296198	4	8
255919	607953	5	7
441406	4071595	2	2
444089	42537219	4	6
77960	607177	4	6
441840	759969	3	14
441840	442586	6	12
441840	3654494	6	7
375415	760526	3	3
441840	373204	4	8
443392	602692	6	7
440921	3571992	4	8
436670	4095104	3	6
438028	4171654	4	4
441840	4129156	4	9
441840	4170174	5	9
441840	44792264	4	4
441840	372325	3	9
441840	4265160	4	4
441840	4263730	5	11
620007	4282841	6	8
441840	37399401	7	9
441840	45768727	6	9
619116	619117	1	1
24818	4009286	5	5
441840	40320758	4	8
441840	43021330	6	10
441840	4055013	6	8
200174	4239313	6	6
441840	760294	9	16
441840	762121	4	9
437312	4104217	2	4
441840	4347433	4	13
438112	4243585	5	7
605030	4028502	1	1
441840	4193164	6	9
441840	44813209	4	5
441840	42690260	8	8
441840	42535420	4	10
441840	4054517	5	9
619741	3662402	6	8
444089	619073	7	8
438112	45768833	3	8
443392	37116586	3	7
441840	4154285	3	9
440921	42536868	6	7
444089	4049412	6	6
607148	4175108	3	3
77635	37109280	3	4
77630	4153397	5	6
607148	4175089	3	3
441840	4182443	6	7
440921	37310174	8	8
441840	4031512	3	3
441840	4021344	4	4
441840	4242344	6	11
80497	438000	4	4
135930	37399450	3	8
441840	4015645	7	15
193079	4140466	2	2
441840	4274412	2	2
444363	607208	3	4
441840	609032	4	10
255919	601129	6	10
441840	4245811	6	11
441840	36687051	5	6
611623	611736	1	1
441840	762019	5	11
255919	45757613	10	11
438112	444410	4	6
135061	4224006	3	4
441840	4064343	3	3
441840	4163050	8	9
620007	4097946	5	8
441840	4052024	5	7
255919	619651	5	5
441840	37018486	6	11
443343	606037	4	5
441840	4344617	5	9
441840	4247356	6	10
608245	4140143	3	3
441840	4033494	3	4
441840	4030990	5	9
441840	4169852	4	5
440921	443828	4	7
441840	37310671	4	10
135930	436252	6	10
441840	4196214	4	7
441840	4142307	5	7
441840	44806407	3	10
438112	4031763	4	6
439842	601104	4	4
441840	4094944	6	8
198124	45769828	4	7
608741	35632211	4	4
444363	606346	4	4
440921	37309966	6	9
441840	4035949	7	8
441840	4134188	4	12
135930	37209150	5	11
441840	4022411	4	4
438112	4092366	4	5
441840	4172738	5	9
441840	4090266	6	11
438112	4247237	5	8
441840	4113205	4	6
441840	763123	7	7
441840	4044077	5	9
441840	4114469	7	7
441840	36685975	7	9
440921	4170820	4	4
441840	36674209	5	5
255919	605653	10	10
441840	442305	3	7
436296	4171141	4	4
433128	434705	5	6
441840	4198277	5	5
441840	4090185	4	7
601439	601542	1	1
134741	604738	4	5
441840	760450	7	14
441840	4240445	5	5
608741	4267856	6	6
441840	45769496	7	12
441840	4096760	6	7
135930	74448	5	6
441840	435222	3	3
438112	605453	4	6
134057	607817	3	6
441840	4073182	6	6
141960	4050836	5	9
441840	4230319	4	6
315643	605092	4	4
441840	765423	5	9
441840	46271364	6	11
441840	4091616	6	9
441840	618708	6	11
440921	4058067	5	9
620318	4185116	3	3
441840	4095749	7	12
438112	434301	3	5
620056	4218418	5	5
441840	4203919	6	10
441840	4274556	5	5
440921	4053305	2	2
24818	4012123	4	7
441840	4036412	7	8
441840	4029603	6	7
77960	4014379	3	4
441840	4280434	4	5
606542	4287317	2	2
441840	45768912	5	7
441840	619202	5	9
620056	37112958	5	5
441840	4062131	4	6
441840	44782512	5	6
444089	4329444	2	3
440921	36716591	5	6
441840	4068001	5	10
441840	4096527	6	6
441840	4100490	4	10
441840	436534	3	8
607143	602990	1	1
441840	4221806	4	10
75865	45757499	5	8
441840	434289	6	13
444363	4174168	7	7
441840	3654697	5	9
135930	4009443	6	12
375921	604468	3	3
441840	4017809	8	13
444363	4094617	4	5
200174	3657945	6	11
441840	37208258	5	7
441840	4030046	3	6
438112	433973	4	9
441840	40479626	8	10
441840	76887	2	5
620007	4147747	5	5
321887	764705	4	4
441840	4125273	4	4
438112	35624874	4	5
441840	4133580	9	10
441840	4126086	6	6
441840	4016127	3	13
601990	601989	1	1
441840	138994	4	6
200588	36686430	2	2
373499	765169	5	7
444363	4170824	4	6
441840	4122928	4	11
608248	4113146	3	3
440921	4094957	4	4
604809	35632248	1	1
441840	36716773	4	8
441840	759861	5	7
441840	42534853	6	10
135930	4018967	4	12
255919	45757607	10	11
200174	4136660	4	7
255919	45766192	5	7
200174	4200893	6	6
438112	4116090	5	5
441840	4145125	7	7
438028	4095359	4	4
441840	4123850	5	5
441840	4001502	4	8
441840	37018472	7	8
80004	37310211	3	8
438112	4112986	4	6
441840	43021942	4	4
441840	606031	4	7
441840	433909	5	6
441840	44788418	6	6
440921	4015860	5	6
441840	602792	5	8
438112	4131764	5	5
441840	4166125	3	3
375415	4045748	5	5
441840	4246808	7	11
135061	605014	5	5
438112	4170421	2	2
438028	4179879	4	4
440921	618708	4	4
441840	3654797	5	11
376106	372607	4	6
441840	37309863	6	9
444363	4104609	4	4
440921	4005496	2	8
441840	376690	3	6
441840	4094986	3	7
441840	4312018	7	15
441840	4308630	3	10
133298	438000	4	4
441840	4032349	4	4
441840	377091	3	4
200174	4031642	4	5
135930	759991	5	10
435416	4180520	6	6
441840	44784530	5	6
620056	4194808	6	6
77635	4136696	3	4
441840	4106857	4	5
441840	4296346	6	11
444220	4013907	6	8
440921	618796	4	6
441840	36678673	5	9
441840	37116397	4	8
440921	42873007	4	4
441840	4035944	6	6
441840	4074908	7	7
255919	4138291	5	8
601836	4100863	4	4
443557	603305	3	4
195906	4013159	4	4
620313	4126809	8	10
441840	4094985	3	7
441840	764494	3	3
433128	4297506	3	4
440921	4150478	3	7
441840	4197451	5	6
444115	4216972	3	3
255919	602089	5	7
441840	4085650	7	7
442106	4069533	1	1
441840	606089	7	12
441840	4097962	4	7
607578	4263090	4	4
620159	36716146	1	1
441840	42538641	4	11
607147	4177132	2	2
441840	602298	5	8
441840	36684582	5	8
441840	42536572	5	11
443957	605206	2	2
441840	4156593	7	7
606452	608595	1	1
604976	42539031	2	2
444363	4157059	3	5
441840	36685760	6	6
441840	4112117	4	5
441840	3662329	7	12
444229	4174151	3	3
441840	4124975	5	5
441840	37108661	6	10
441840	4120221	5	10
441840	4316871	7	9
441840	4033474	4	10
441840	134305	6	8
441840	760178	6	10
441840	4143491	6	8
444089	4194053	3	6
441488	4098225	2	3
441840	4035607	5	8
441840	4216315	5	6
441406	4331803	4	4
441840	4057651	5	8
141960	4151520	3	7
607781	3655138	3	3
200174	4300102	3	5
441840	36714068	4	11
444077	439330	3	3
77630	4067772	2	3
438112	4301421	6	6
441840	46285316	5	6
441840	4158334	4	4
441840	3655876	4	12
440921	4276508	4	4
255919	4056889	4	6
441840	201240	6	10
141411	4301415	2	2
438112	4312553	4	5
441840	46270143	3	6
441840	439293	7	10
620007	607019	3	3
438112	42709777	4	5
441840	3656915	6	10
441840	443790	5	11
620313	4126808	8	10
441840	607990	5	5
441840	4301780	6	10
255919	4001681	7	9
441840	4127688	5	7
441840	4230251	5	8
440921	4033535	6	7
441840	4311455	3	7
200174	602039	6	9
135930	600986	4	7
441840	761082	6	8
75128	4015209	4	4
141960	761063	4	6
200588	437598	6	7
135930	604655	5	10
606930	3655330	1	1
441840	4314337	4	11
438112	4317417	4	6
438112	4283741	5	7
441840	197799	5	9
441840	4142110	3	9
441840	46270032	2	6
441840	4173471	4	10
441840	45757119	5	9
441840	603311	6	14
255919	4081191	5	7
441840	132718	5	9
375252	3654913	5	7
378161	605224	3	3
438028	4166624	3	4
192763	4238315	1	1
441840	4246922	6	11
255919	602825	6	11
441840	4241912	6	10
441840	4245569	6	11
619741	4094832	6	6
441840	4137952	6	8
441840	4283232	5	7
440921	444274	4	4
441840	4277183	2	3
607147	4177778	3	3
601992	605394	1	1
441840	4128191	6	8
443343	606422	4	5
441840	3667048	5	6
441840	35610611	4	4
441840	4318407	4	10
438112	4316500	4	7
441840	439478	6	9
135930	762226	4	7
440142	45771317	4	6
438112	36715790	5	7
438028	4174636	4	5
441840	600651	5	6
441840	197807	6	8
200174	4152928	3	6
441840	45770929	8	9
441840	4317148	6	10
441840	4136194	3	3
135930	4117241	3	6
441840	4079281	7	9
441840	36714542	4	12
439156	4197402	4	4
255919	4129004	5	5
441840	4266789	2	4
438112	194878	5	6
440921	42689771	3	3
441207	4162146	5	5
438028	4175088	5	5
441840	42689886	8	8
619741	37116913	8	8
441840	4205452	4	4
141960	4120271	3	6
606884	4033010	3	3
195906	4194891	2	2
441840	4313988	3	6
438028	3654781	5	5
440921	4152321	5	5
438112	607985	3	9
441840	4129137	5	9
441840	45757160	7	9
441840	36715269	4	11
440921	4157977	3	3
441840	3654692	6	8
441840	4106865	5	8
438028	433919	2	2
77960	4017521	5	6
440921	4052977	4	6
441840	4199095	8	8
134057	607828	4	6
77960	760450	5	8
441840	4311539	5	7
606464	44807612	2	2
442106	4132810	2	2
24818	4013153	3	5
441840	37116369	4	10
441840	4199035	6	12
255919	4210874	3	10
441840	4340264	8	12
441840	765096	3	3
77630	4014205	3	7
438112	4131439	3	3
607781	4247086	4	4
75865	197711	2	5
441840	4219428	6	7
372887	36676691	7	7
608741	4184744	6	6
441840	441768	3	3
441840	42536613	5	5
255919	618761	5	9
440921	4002661	3	3
441840	4183370	5	8
444363	4098820	4	4
196053	608940	3	3
441840	4131016	6	9
441840	4154465	4	10
441840	4102731	5	6
441840	73362	5	6
441840	4334113	4	10
441840	46269791	4	10
441840	4110324	5	5
444187	81148	6	7
441840	35621806	8	9
444112	606063	4	9
255919	3656907	6	9
603292	4312544	2	2
441840	4083688	5	8
441840	4067875	5	7
440921	37309851	5	6
137275	4328879	3	4
77960	4016673	4	6
443253	4203137	2	2
255919	4089072	3	4
607147	607165	3	3
443392	602133	5	7
441840	4207195	6	6
620312	4050247	2	2
441840	4059704	6	8
440921	4139280	2	8
135930	604697	3	7
440921	4015207	5	9
441840	4199931	4	4
441840	24230	4	6
441840	4150597	5	8
75865	4134925	3	4
441840	4212356	4	10
375252	761591	4	7
619741	40488806	5	8
608248	4108923	3	3
620056	4107936	2	2
441840	36684748	5	14
440921	4058062	4	6
606574	4057852	2	2
135930	4014526	5	9
441840	4230779	4	5
606542	602741	4	4
441840	4169880	5	8
441840	4096897	5	6
441840	43021979	4	6
317309	37109921	3	4
441840	762221	4	9
441840	36680606	5	10
441840	45757174	5	5
441840	4059038	4	5
605636	4027803	2	2
440029	43021291	3	3
373499	36713139	6	8
441840	4110424	5	12
441840	40486169	7	12
441840	4137331	3	10
441840	42690151	4	8
441840	4122871	5	9
200588	4345926	4	4
607969	4153667	2	2
441840	4086046	9	9
438112	36674767	4	7
200174	608893	7	9
441840	4270006	4	5
435416	4162612	3	4
440142	606079	6	7
607781	4148285	3	3
141960	192785	4	7
441840	4316982	7	8
441840	435441	5	6
255919	602129	4	12
444363	4160826	5	5
77630	602020	4	5
441840	4182123	6	7
440921	440226	4	4
133857	4010535	4	6
438112	444451	4	5
607147	4175106	4	5
80004	4166088	4	6
135930	4347301	4	9
605429	4096480	4	4
441840	762012	7	11
74472	45757359	2	2
441840	4105107	5	9
441840	4105341	3	7
441737	4094837	6	6
441840	37399443	4	8
78831	601030	4	5
605518	4103492	1	1
608298	36695745	4	5
441840	4116962	2	2
373499	36676818	5	7
140190	4281251	5	9
433823	4140509	2	2
441840	4294418	6	9
441840	4095820	5	7
606424	606398	1	1
440921	259988	2	3
441840	4128848	5	5
443392	602663	3	8
441840	4179736	5	6
444100	42538600	3	3
441840	35610182	4	5
441840	603178	3	6
441840	37111420	6	7
439156	42535006	3	4
444363	4095373	3	3
441840	4049222	3	4
377659	605218	3	3
440029	4227852	3	5
441840	4081007	4	5
135930	4002898	1	1
441840	4163559	5	7
196931	36717182	4	9
441840	4086873	6	7
141960	4151519	4	7
441840	37111409	3	10
441840	4083869	4	4
440921	4176083	3	4
441840	4130694	7	8
75865	4030664	4	7
135930	4134167	5	8
441840	45765501	6	6
440921	4146847	2	2
441840	4129220	6	10
608298	4089577	10	10
441840	4040380	8	13
443557	4012292	4	4
