ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
432795	619345	2	6
45772069	45767009	1	1
45766714	4238732	6	7
45771496	45767799	1	1
45766714	4345828	3	4
45769458	45764736	1	1
432250	442420	3	4
432250	42534825	4	6
45770465	45770471	1	1
45765751	42535003	2	2
45765701	37119246	2	2
73553	4137474	4	7
45769636	45769615	1	1
432795	4111361	3	8
436581	4096441	1	1
45771096	36675060	3	3
45765701	37111257	3	3
443784	4318866	4	4
607149	4177285	2	2
620065	37110195	3	3
606956	3655349	1	1
443784	438903	4	4
432545	46269735	4	4
45772862	45758414	3	3
376208	4156801	5	7
432250	4125953	4	6
376337	4057031	4	5
81454	4018628	1	1
45766714	4033348	3	3
45769458	45758783	2	2
45767721	45771657	1	1
442131	602114	4	5
45768316	45758541	1	1
608233	3008786	3	3
45768408	45758329	2	2
45770978	45760226	1	1
432795	4218013	4	7
253549	4056161	5	6
201891	606438	2	2
45771500	45759115	1	1
45769397	4199186	4	4
432795	3655183	3	6
320136	46269782	4	6
45769397	4306748	3	3
135526	604660	3	3
45767808	45772805	1	1
45766714	4047503	2	2
444094	196762	7	7
45767737	45772006	1	1
45757707	761689	1	1
45768719	4031657	3	3
433471	601072	1	1
45757399	4116358	4	4
45767721	45761647	2	2
45767832	45760778	1	1
45757752	4223016	1	1
432795	442860	6	11
45769397	4277912	2	2
201131	4289095	5	5
442562	4176528	4	6
45768362	35614197	3	3
606682	4112192	4	4
193460	4017671	5	8
442562	4096579	3	6
45758566	42539059	1	1
443259	4317554	3	3
133468	4111843	4	6
76349	601140	3	3
133303	440438	2	4
620057	4272549	7	7
601235	601236	1	1
45767906	45772658	1	1
442562	4165569	5	5
45768132	45765373	3	3
435244	36674763	4	4
432250	4162546	5	5
45768132	35624571	5	5
432795	195108	3	5
45759243	35613573	2	2
376337	4216348	3	6
45767135	45767664	1	1
432795	3657964	5	8
436581	4174001	2	2
432795	36686160	3	10
432795	432746	7	9
440508	761811	5	6
45770357	36685333	1	1
193460	36684561	3	4
45768318	45758150	1	1
432795	4096477	4	5
45769458	45760263	3	3
45768157	45772395	2	2
45767945	45759034	1	1
619743	4106504	3	3
45767808	45763112	2	2
133468	4018958	5	8
45772849	45759815	1	1
619743	36686209	3	3
45769397	4250016	3	3
75909	760626	7	8
45768264	45771155	2	2
45768175	45763399	1	1
45769458	4147885	1	1
45768367	37017728	1	1
45769397	4005158	3	3
45757698	761341	1	1
133468	37310169	7	9
45771096	35625760	3	3
432250	37116642	4	5
432545	4302958	4	4
133468	37309936	6	8
620217	620215	1	1
45768407	45760766	1	1
134438	4066388	3	3
376208	42536872	5	7
45763613	4340255	3	3
607856	4151823	4	4
444130	37209119	4	5
374009	608051	5	5
45769397	4328884	1	1
45766714	4335876	3	3
75909	4236194	3	5
620053	4085239	6	7
45765752	37111259	2	2
601837	3654955	7	7
45767775	45767777	1	1
442562	4157647	4	6
604317	37209470	1	1
73553	42535124	5	5
74726	37116657	4	5
45765532	37109322	2	2
74740	619207	3	3
432795	4150464	3	5
45770454	44798394	3	3
133468	44808844	5	5
605931	45759469	3	3
133468	442765	6	7
432795	4105322	2	4
133468	4136572	4	6
619633	3654540	1	1
45765728	37017163	1	1
442562	4159782	3	5
376208	765370	2	3
75053	4213541	3	7
73553	45767135	4	4
45768225	45765204	1	1
45771096	4249458	3	3
193460	619229	4	7
440508	36676902	3	5
602889	4222425	1	1
45757479	196468	2	2
620310	37118773	6	6
45768152	45773341	1	1
45768360	45761519	1	1
45767981	45760963	1	1
45769397	35624662	4	4
376337	618640	3	6
439035	602182	2	2
376208	605184	6	8
45773396	4068175	3	3
444210	4199001	3	4
45768132	45761822	3	3
432795	4277609	3	7
443356	4017677	5	8
45766058	4071936	5	5
73553	4167532	3	4
45768719	4110127	4	4
443784	4187910	5	7
440508	35624165	4	7
45767721	45771794	2	2
432795	4142060	5	5
45769397	4005163	2	2
45765751	35622126	2	2
45766714	4100184	2	2
