ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4095196	4101638	1	1
4054501	4167552	3	5
4042641	4199376	5	8
4040396	46271528	2	4
4042516	4160714	5	6
4042330	43531427	3	4
4043022	4161943	7	8
4103837	4025289	10	10
4036124	4089415	3	3
4035417	37117151	2	2
4086921	4295016	8	8
4115390	4263049	3	3
4096864	4203601	5	5
4111017	4240915	4	6
4034052	4142778	5	7
4048365	4014903	3	3
4043161	4037883	4	5
4091363	4003498	6	8
4085887	4078762	6	6
4048365	44810804	5	5
4043351	35623141	2	2
4101264	4005198	2	2
4040390	37018735	3	3
4078475	4085863	3	3
4040390	4199525	4	7
4053826	4152476	2	2
4043178	4336550	4	4
4046264	4275894	1	1
4040400	4099248	5	5
4042178	4109790	3	3
4082039	37311939	1	1
4103485	4082145	1	1
4105111	4338828	1	1
4090614	36674896	4	6
4033677	4038538	1	1
4039365	3025674	5	5
4093991	4021908	2	2
4043021	4331384	3	3
4086925	37392703	7	7
4042640	4337034	4	4
4048384	4195916	9	21
4046268	4290320	4	5
4086154	4052268	4	4
4093991	4291612	5	8
4048384	37118901	10	14
4109051	36714638	3	3
4034052	4076530	10	12
4090615	4177988	3	3
4082416	4083627	3	3
4048365	1617713	4	4
4040400	4254106	4	4
4048384	37116987	10	10
4096864	4066014	6	6
4093090	4352772	9	10
4034052	4174098	5	7
4094311	4264127	3	3
4060500	37109428	1	1
4043346	444031	4	5
4048384	36717530	6	20
4046266	4086083	2	2
4092907	42536431	5	7
4043182	4053822	4	4
4040400	4122920	5	5
4038502	4090174	4	4
4043161	4247801	4	5
4039365	44807005	4	4
4116052	4322572	3	3
4042529	4174122	9	13
4044880	4179024	6	9
4043182	4085713	4	4
4101105	37111776	8	8
4040400	4324883	5	5
4048365	40763144	3	3
4045159	3000690	4	4
4043020	4330782	5	5
4081912	4090420	3	3
4042673	4205879	2	2
4048384	4311949	6	12
4048384	4172329	9	17
4048365	4022146	4	4
4040392	4023280	3	5
4087847	4088176	3	3
4040391	4034667	6	7
4048384	4037026	8	11
4056379	4151907	6	6
4034052	4080278	6	9
4115107	40493504	5	5
4115390	4035242	6	6
4042141	4082785	5	5
4070792	4059537	2	2
4067285	4264485	3	3
4096864	4057520	6	6
4040392	4253207	4	5
4090447	4111442	7	7
4043027	4249714	4	5
4042150	4075952	4	4
4058456	42535617	2	2
4040400	46273202	5	9
4049634	37304088	6	10
4096864	35622672	4	7
4112439	4037247	5	5
4042529	4146679	12	16
4051068	4285532	7	14
4056181	4140464	1	1
4095277	4277687	6	11
4042150	4013337	2	4
4085889	4114536	5	10
4043161	4245372	3	3
4034052	4080796	6	6
4040551	4050267	5	6
4040390	4146897	8	9
4086925	44804589	1	1
4101344	436173	5	5
4040390	42535043	7	10
4044034	4081787	3	3
4042529	4309268	5	5
4043161	4119560	7	8
4063381	36674977	1	1
4051068	4336252	6	10
4085878	4056465	1	1
4054503	4095320	3	3
4091363	4166188	4	4
4040394	4247643	4	7
4041268	4273368	5	6
4099590	4203398	5	5
4086926	4149381	4	4
4115390	4314505	5	5
4090002	4136647	4	4
4042652	4144882	5	5
4074187	4149136	2	2
4048365	4041895	5	7
4107655	4174257	4	4
4043026	3657231	3	3
