ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
42033998	42042601	1	1
41970945	41987880	3	3
42018946	42020740	2	2
42007314	42004483	1	1
42001879	42013359	3	3
42084637	42061492	3	3
42046446	42078219	1	1
41976048	41983806	1	1
42057166	42071038	1	1
42002367	42007692	2	2
42084637	42062709	3	3
42001879	42013254	2	2
42046294	42077261	2	2
42046186	42055968	4	4
432545	4027538	2	4
42056590	42063780	1	1
42084629	42062807	4	4
42006865	41999879	2	2
42046312	42050695	2	2
42035287	42050413	3	3
42046186	42068284	5	5
42084633	42071562	3	3
42001879	42013953	3	3
42084637	42055667	2	2
42084637	42074179	3	3
42030997	42032152	5	5
42034005	42042201	1	1
41995358	41998565	1	1
42034024	42051808	1	1
42046186	42069138	5	5
42084627	42073232	4	4
42014347	42015052	3	3
42064510	42084584	1	1
42046186	42079519	5	5
42014334	42018658	3	3
41970973	41973817	2	2
42046284	42058013	2	2
42046229	42064407	2	2
42007310	42012761	1	1
42014334	42003396	2	2
42001879	42012155	2	2
42033763	42047027	3	3
41970947	41983801	3	3
42046193	42062575	2	2
42084627	42056276	3	3
42046186	42074259	5	5
42046186	42052825	4	4
42001879	42012427	2	2
42046186	42068713	5	5
42033954	42040532	2	2
42046312	42068367	2	2
41987514	41998656	2	2
41970931	41976834	4	4
41995355	42003340	1	1
41987180	41997760	2	2
41970939	41992226	3	3
42030997	42032075	5	5
42537154	37117532	4	4
42046239	42069873	2	2
42084627	42062106	4	4
42056033	42077123	1	1
42035286	42039228	3	3
41970952	41960504	1	1
42084627	42079145	4	4
42006867	42007032	2	2
42084637	42055628	2	2
42001879	42013390	2	2
42035286	42052345	5	5
42001879	42002820	2	2
42046186	42071135	5	5
41987173	42003110	3	3
42033763	42048945	3	3
42035287	42042820	4	4
42035303	42040534	1	1
41981424	41988581	1	1
42035286	42042863	5	5
41970948	41973957	2	2
42084638	42075011	3	3
42084627	42057887	4	4
42035286	42037132	3	3
42084627	42072291	4	4
42035286	42041920	3	3
42034022	42038357	1	1
42046312	42059386	2	2
42046186	42055201	4	4
42014353	42016473	3	3
42046186	42073984	5	5
42084628	42057427	3	3
42030998	42032132	4	4
42021527	42033513	2	2
42084627	42077156	5	5
42046271	42057630	2	2
42007314	42010612	1	1
42084633	42067030	3	3
41970937	41986722	4	4
41987484	42004642	1	1
42021756	42033381	1	1
41970947	41992732	3	3
42084637	42070401	3	3
41987173	41996803	3	3
42084634	42065626	3	3
42046186	42054817	4	4
42018662	42020907	3	3
42046186	42067754	5	5
41978126	41986238	1	1
42046186	42083317	3	3
42084627	42066526	4	4
42084627	42068868	4	4
42019228	42030668	3	3
41987186	42001738	2	2
41973693	41992480	1	1
41987393	42000551	1	1
42046193	42077139	2	2
42084627	42061458	4	4
42046186	42068952	5	5
42046186	42075529	5	5
42035286	42051826	5	5
