concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
35631990	3643310	Module of	20220128	20991231	
40642537	4023252	Status of	20220128	20991231	
40642539	4023252	Module of	20220128	20991231	
40642538	46090124	Status of	20220128	20991231	
35631990	46090124	Module of	20220128	20991231	
40642538	4023253	Status of	20220128	20991231	
40642539	4023253	Module of	20220128	20991231	
40642538	4023254	Status of	20220128	20991231	
40642539	4023254	Module of	20220128	20991231	
40642538	46146489	Status of	20220128	20991231	
35631990	46146489	Module of	20220128	20991231	
40642538	4022763	Status of	20220128	20991231	
40642539	4022763	Module of	20220128	20991231	
40642538	3643314	Status of	20220128	20991231	
35631990	3643314	Module of	20220128	20991231	
40642538	46090123	Status of	20220128	20991231	
35631990	46090123	Module of	20220128	20991231	
40642538	3643315	Status of	20220128	20991231	
35631990	3643315	Module of	20220128	20991231	
40642538	46010321	Status of	20220128	20991231	
35631990	46010321	Module of	20220128	20991231	
40642538	3643316	Status of	20220128	20991231	
35631990	3643316	Module of	20220128	20991231	
40642538	46146490	Status of	20220128	20991231	
35631990	46146490	Module of	20220128	20991231	
40642538	3643319	Status of	20220128	20991231	
35631990	3643319	Module of	20220128	20991231	
40642538	46010322	Status of	20220128	20991231	
35631990	46010322	Module of	20220128	20991231	
40642538	3589179	Status of	20220128	20991231	
35631990	3589179	Module of	20220128	20991231	
40642538	46010323	Status of	20220128	20991231	
35631990	46010323	Module of	20220128	20991231	
40642538	3571947	Status of	20220128	20991231	
40642538	3643321	Status of	20220128	20991231	
35631990	3643321	Module of	20220128	20991231	
40642538	46146491	Status of	20220128	20991231	
35631990	46146491	Module of	20220128	20991231	
40642538	4024532	Status of	20220128	20991231	
40642539	4024532	Module of	20220128	20991231	
40642538	4022765	Status of	20220128	20991231	
40642539	4022765	Module of	20220128	20991231	
40642538	3643323	Status of	20220128	20991231	
35631990	3643323	Module of	20220128	20991231	
40642538	46090120	Status of	20220128	20991231	
35631990	46090120	Module of	20220128	20991231	
40642538	4023256	Status of	20220128	20991231	
40642539	4023256	Module of	20220128	20991231	
40642538	46010324	Status of	20220128	20991231	
35631990	46010324	Module of	20220128	20991231	
40642538	4020638	Status of	20220128	20991231	
40642539	4020638	Module of	20220128	20991231	
40642538	4022766	Status of	20220128	20991231	
40642539	4022766	Module of	20220128	20991231	
40642538	3643329	Status of	20220128	20991231	
35631990	3643329	Module of	20220128	20991231	
40642537	4023258	Status of	20220128	20991231	
40642539	4023258	Module of	20220128	20991231	
40642538	3589180	Status of	20220128	20991231	
35631990	3589180	Module of	20220128	20991231	
40642538	46090117	Status of	20220128	20991231	
35631990	46090117	Module of	20220128	20991231	
40642538	3571948	Status of	20220128	20991231	
40642537	4022768	Status of	20220128	20991231	
40642539	4022768	Module of	20220128	20991231	
40642538	3643332	Status of	20220128	20991231	
35631990	3643332	Module of	20220128	20991231	
40642538	3643333	Status of	20220128	20991231	
35631990	3643333	Module of	20220128	20991231	
40642538	4023260	Status of	20220128	20991231	
40642539	4023260	Module of	20220128	20991231	
40642538	46090116	Status of	20220128	20991231	
35631990	46090116	Module of	20220128	20991231	
40642538	4024533	Status of	20220128	20991231	
40642539	4024533	Module of	20220128	20991231	
40642538	3643336	Status of	20220128	20991231	
35631990	3643336	Module of	20220128	20991231	
40642538	46010328	Status of	20220128	20991231	
35631990	46010328	Module of	20220128	20991231	
40642538	46146497	Status of	20220128	20991231	
35631990	46146497	Module of	20220128	20991231	
40642538	3643339	Status of	20220128	20991231	
35631990	3643339	Module of	20220128	20991231	
40642538	46010329	Status of	20220128	20991231	
35631990	46010329	Module of	20220128	20991231	
40642538	3643340	Status of	20220128	20991231	
35631990	3643340	Module of	20220128	20991231	
40642538	4023264	Status of	20220128	20991231	
40642539	4023264	Module of	20220128	20991231	
40642538	3589181	Status of	20220128	20991231	
35631990	3589181	Module of	20220128	20991231	
40642538	3552179	Status of	20220128	20991231	
40642538	4023265	Status of	20220128	20991231	
40642539	4023265	Module of	20220128	20991231	
40642538	3643341	Status of	20220128	20991231	
35631990	3643341	Module of	20220128	20991231	
40642538	46090114	Status of	20220128	20991231	
35631990	46090114	Module of	20220128	20991231	
40642538	4024534	Status of	20220128	20991231	
40642539	4024534	Module of	20220128	20991231	
40642538	46010330	Status of	20220128	20991231	
35631990	46010330	Module of	20220128	20991231	
40642538	4020643	Status of	20220128	20991231	
40642539	4020643	Module of	20220128	20991231	
40642538	3643344	Status of	20220128	20991231	
35631990	3643344	Module of	20220128	20991231	
40642538	46146499	Status of	20220128	20991231	
35631990	46146499	Module of	20220128	20991231	
40642538	4022770	Status of	20220128	20991231	
40642539	4022770	Module of	20220128	20991231	
40642538	46146500	Status of	20220128	20991231	
35631990	46146500	Module of	20220128	20991231	
40642538	3643347	Status of	20220128	20991231	
35631990	3643347	Module of	20220128	20991231	
40642538	46090112	Status of	20220128	20991231	
35631990	46090112	Module of	20220128	20991231	
40642538	4020644	Status of	20220128	20991231	
40642539	4020644	Module of	20220128	20991231	
40642538	46010332	Status of	20220128	20991231	
35631990	46010332	Module of	20220128	20991231	
40642538	4022771	Status of	20220128	20991231	
40642539	4022771	Module of	20220128	20991231	
40642538	3643349	Status of	20220128	20991231	
35631990	3643349	Module of	20220128	20991231	
40642538	46146501	Status of	20220128	20991231	
35631990	46146501	Module of	20220128	20991231	
40642538	4023382	Status of	20220128	20991231	
40642539	4023382	Module of	20220128	20991231	
40642538	4023383	Status of	20220128	20991231	
40642539	4023383	Module of	20220128	20991231	
40642538	3643350	Status of	20220128	20991231	
35631990	3643350	Module of	20220128	20991231	
40642538	46090111	Status of	20220128	20991231	
35631990	46090111	Module of	20220128	20991231	
40642538	3571950	Status of	20220128	20991231	
40642537	36684461	Status of	20220128	20991231	
40642539	36684461	Module of	20220128	20991231	
40642538	3643351	Status of	20220128	20991231	
35631990	3643351	Module of	20220128	20991231	
40642538	46102736	Status of	20220128	20991231	
35631990	46102736	Module of	20220128	20991231	
40642538	46146502	Status of	20220128	20991231	
35631990	46146502	Module of	20220128	20991231	
40642538	40280421	Status of	20220128	20991231	
40642539	40280421	Module of	20220128	20991231	
40642538	4024536	Status of	20220128	20991231	
40642539	4024536	Module of	20220128	20991231	
40642538	46090109	Status of	20220128	20991231	
35631990	46090109	Module of	20220128	20991231	
40642538	3643357	Status of	20220128	20991231	
35631990	3643357	Module of	20220128	20991231	
40642538	46010335	Status of	20220128	20991231	
35631990	46010335	Module of	20220128	20991231	
40642538	46146504	Status of	20220128	20991231	
