concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
40792343	40792339	Is a	19700101	20991231	
40792345	37026510	Subsumes	19700101	20991231	
40792345	37068246	Subsumes	19700101	20991231	
40792345	40779592	Is a	19700101	20991231	
40792346	37057526	Subsumes	19700101	20991231	
40792346	37073882	Subsumes	19700101	20991231	
40792346	40779592	Is a	19700101	20991231	
40792347	40772543	Is a	19700101	20991231	
40792350	40786458	Subsumes	19700101	20991231	
40792351	3005545	Component of	20191213	20991231	
40792351	3010705	Component of	20191213	20991231	
40792351	37022891	Subsumes	19700101	20991231	
40792351	37030046	Subsumes	19700101	20991231	
40792351	37040164	Subsumes	19700101	20991231	
40792351	37044205	Subsumes	19700101	20991231	
40792351	37044352	Subsumes	19700101	20991231	
40792351	37048470	Subsumes	19700101	20991231	
40792351	37051334	Subsumes	19700101	20991231	
40792351	37060862	Subsumes	19700101	20991231	
40792351	37062463	Subsumes	19700101	20991231	
40792351	37075546	Subsumes	19700101	20991231	
40792351	40776233	Is a	19700101	20991231	
40792351	40779411	Subsumes	19700101	20991231	
40792351	40782940	Subsumes	19700101	20991231	
40792354	21495482	Subsumes	19700101	20991231	
40792354	36205611	Subsumes	19700101	20991231	
40792354	36205724	Subsumes	19700101	20991231	
40792354	36207415	Subsumes	19700101	20991231	
40792354	36207767	Subsumes	19700101	20991231	
40792354	36208661	Subsumes	19700101	20991231	
40792354	36209368	Subsumes	19700101	20991231	
40792354	36209369	Subsumes	19700101	20991231	
40792354	36209370	Subsumes	19700101	20991231	
40792354	37024523	Subsumes	19700101	20991231	
40792354	37024683	Subsumes	19700101	20991231	
40792354	37026849	Subsumes	19700101	20991231	
40792354	37029561	Subsumes	19700101	20991231	
40792354	37030879	Subsumes	19700101	20991231	
40792354	37031275	Subsumes	19700101	20991231	
40792354	37031667	Subsumes	19700101	20991231	
40792354	37038303	Subsumes	19700101	20991231	
40792354	37042869	Subsumes	19700101	20991231	
40792354	37043412	Subsumes	19700101	20991231	
40792354	37048186	Subsumes	19700101	20991231	
40792354	37050061	Subsumes	19700101	20991231	
40792354	37053744	Subsumes	19700101	20991231	
40792354	37058925	Subsumes	19700101	20991231	
40792354	37060754	Subsumes	19700101	20991231	
40792354	37063422	Subsumes	19700101	20991231	
40792354	40786047	Subsumes	19700101	20991231	
40792354	40792567	Is a	19700101	20991231	
40792354	40796253	Subsumes	19700101	20991231	
40792354	44817724	Subsumes	20140701	20991231	
40792355	3019419	Component of	20191213	20991231	
40792355	37022875	Subsumes	19700101	20991231	
40792355	37034027	Subsumes	19700101	20991231	
40792355	37077883	Subsumes	19700101	20991231	
40792355	37078456	Subsumes	19700101	20991231	
40792355	40786236	Is a	19700101	20991231	
40792356	3009306	Component of	20191213	20991231	
40792356	3010296	Component of	20191213	20991231	
40792356	3012116	Component of	20191213	20991231	
40792356	3015916	Component of	20191213	20991231	
40792356	3021607	Component of	20191213	20991231	
40792356	3024289	Component of	20191213	20991231	
40792356	3025053	Component of	20191213	20991231	
40792356	3027634	Component of	20191213	20991231	
40792356	3028331	Component of	20191213	20991231	
40792356	3032506	Component of	20191213	20991231	
40792356	3044397	Component of	20191213	20991231	
