concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
40642539	4247475	Module of	20220128	20991231	
40642538	35628512	Status of	20220128	20991231	
35631990	35628512	Module of	20220128	20991231	
40642538	45770670	Status of	20220128	20991231	
40642538	46137154	Status of	20220128	20991231	
35631990	46137154	Module of	20220128	20991231	
40642537	4247476	Status of	20220128	20991231	
40642539	4247476	Module of	20220128	20991231	
40642538	45770671	Status of	20220128	20991231	
40642538	45770672	Status of	20220128	20991231	
40642537	4246939	Status of	20220128	20991231	
40642539	4246939	Module of	20220128	20991231	
40642538	35628516	Status of	20220128	20991231	
35631990	35628516	Module of	20220128	20991231	
40642537	4246566	Status of	20220128	20991231	
40642539	4246566	Module of	20220128	20991231	
40642538	45770674	Status of	20220128	20991231	
40642537	4244190	Status of	20220128	20991231	
40642539	4244190	Module of	20220128	20991231	
40642538	3625232	Status of	20220128	20991231	
35631990	3625232	Module of	20220128	20991231	
40642538	3547023	Status of	20220128	20991231	
40642538	46137157	Status of	20220128	20991231	
35631990	46137157	Module of	20220128	20991231	
40642537	4246567	Status of	20220128	20991231	
40642539	4246567	Module of	20220128	20991231	
40642538	35628518	Status of	20220128	20991231	
35631990	35628518	Module of	20220128	20991231	
40642538	46002358	Status of	20220128	20991231	
35631990	46002358	Module of	20220128	20991231	
40642537	4247477	Status of	20220128	20991231	
40642539	4247477	Module of	20220128	20991231	
40642538	4244191	Status of	20220128	20991231	
40642539	4244191	Module of	20220128	20991231	
40642538	3586947	Status of	20220128	20991231	
35631990	3586947	Module of	20220128	20991231	
40642538	46137158	Status of	20220128	20991231	
35631990	46137158	Module of	20220128	20991231	
40642538	3547025	Status of	20220128	20991231	
40642538	45981342	Status of	20220128	20991231	
35631990	45981342	Module of	20220128	20991231	
40642538	46002359	Status of	20220128	20991231	
35631990	46002359	Module of	20220128	20991231	
40642537	4244192	Status of	20220128	20991231	
40642539	4244192	Module of	20220128	20991231	
40642537	4246568	Status of	20220128	20991231	
40642539	4246568	Module of	20220128	20991231	
40642538	35628522	Status of	20220128	20991231	
35631990	35628522	Module of	20220128	20991231	
40642538	3547026	Status of	20220128	20991231	
40642538	46002360	Status of	20220128	20991231	
35631990	46002360	Module of	20220128	20991231	
40642538	4246940	Status of	20220128	20991231	
40642539	4246940	Module of	20220128	20991231	
619429	45773667	Subsumes	20220128	20991231	
40642538	45773667	Status of	20220128	20991231	
40642538	46137160	Status of	20220128	20991231	
35631990	46137160	Module of	20220128	20991231	
40642537	4246941	Status of	20220128	20991231	
40642539	4246941	Module of	20220128	20991231	
40642538	3547027	Status of	20220128	20991231	
40642538	35628525	Status of	20220128	20991231	
35631990	35628525	Module of	20220128	20991231	
619429	45770677	Subsumes	20220128	20991231	
