concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
4171569	45470182	Mapped from	19700101	20991231	
4171570	4049769	Is a	20110731	20991231	
4171572	4222559	Is a	20110731	20991231	
4171572	4270273	Has interprets	20110731	20991231	
4171582	4221994	Using finding method	20110731	20991231	
4171585	4221994	Using finding method	20110731	20991231	
4171586	4147169	Is a	20110731	20991231	
4171586	4221994	Using finding method	20110731	20991231	
4171586	45438242	Mapped from	19700101	20991231	
4171591	4200659	Has interprets	20110731	20991231	
4171591	4221994	Using finding method	20110731	20991231	
4171591	45444863	Mapped from	19700101	20991231	
4171597	4152356	Is a	20110731	20991231	
4171603	4120742	Has proc context	20110731	20991231	
4171603	4259509	Has temporal context	20110731	20991231	
4171603	45515513	Mapped from	19700101	20991231	
4171612	4180330	Concept was_a to	20140401	20991231	
4171612	4180330	Maps to	19700101	20991231	
4171616	4052332	Has interprets	20110731	20991231	
4171616	4221994	Using finding method	20110731	20991231	
4171616	45448151	Mapped from	20140401	20991231	
4171617	45438255	Mapped from	20140401	20991231	
4171618	4059499	Is a	20110731	20991231	
4171624	4221994	Using finding method	20110731	20991231	
4171624	40299781	Concept poss_eq from	20170731	20991231	
4171624	40299781	Mapped from	20170731	20991231	
4171624	40330372	Concept poss_eq from	20170731	20991231	
4171624	40330372	Mapped from	20170731	20991231	
4171624	45421742	Mapped from	19700101	20991231	
4171625	4221994	Using finding method	20110731	20991231	
4171625	4236370	Is a	20110731	20991231	
4171625	4238643	Has interprets	20110731	20991231	
4171625	45485051	Mapped from	19700101	20991231	
4171626	4221994	Using finding method	20110731	20991231	
4171629	4165029	Is a	20110731	20991231	
4171629	4166819	Is a	20130731	20991231	
4171629	4246699	Has causative agent	20110731	20991231	
4171629	43021170	Has pathology	20130731	20991231	
4171630	4020623	Has causative agent	20110731	20991231	
4171630	4306324	Has causative agent	20110731	20991231	
4171630	43021170	Has pathology	20130731	20991231	
4171631	4165029	Is a	20110731	20991231	
4171631	4166819	Is a	20130731	20991231	
4171631	43021170	Has pathology	20130731	20991231	
4171632	43021170	Has pathology	20130731	20991231	
4171634	4169029	Is a	20110731	20991231	
4171634	43021170	Has pathology	20130731	20991231	
4171635	4171404	Has causative agent	20110731	20991231	
4171635	43021170	Has pathology	20130731	20991231	
4171636	4159323	Has causative agent	20110731	20991231	
4171636	4170192	Is a	20110731	20991231	
4171636	43021170	Has pathology	20130731	20991231	
4171637	4165165	Subsumes	20110731	20991231	
4171637	4170320	Subsumes	20110731	20991231	
4171637	4171638	Subsumes	20110731	20991231	
4171637	4171639	Subsumes	20110731	20991231	
4171637	4171642	Concept replaces	20190131	20991231	
4171637	4171642	Mapped from	20190131	20991231	
4171637	4171642	Subsumes	20110731	20991231	
4171637	43021170	Has pathology	20130731	20991231	
4171640	4165029	Is a	20200309	20991231	
4171640	43021170	Has pathology	20130731	20991231	
