concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
1989123	1990729	Is a	20220216	20991231	
1988583	1990733	Is a	20220216	20991231	
1988840	1990731	Is a	20220216	20991231	
1989429	1990731	Is a	20220216	20991231	
1989616	1990732	Is a	20220216	20991231	
1988325	1990732	Is a	20220216	20991231	
1988273	1990728	Is a	20220216	20991231	
1988807	1990734	Is a	20220216	20991231	
1989467	1990725	Is a	20220216	20991231	
1988241	1990725	Is a	20220216	20991231	
1988161	1990725	Is a	20220216	20991231	
1989523	40657728	Is a	20220216	20991231	
1989516	40657728	Is a	20220216	20991231	
1988497	40657728	Is a	20220216	20991231	
1989010	1990724	Is a	20220216	20991231	
1989170	1990735	Is a	20220216	20991231	
1988094	36033092	Is a	20220216	20991231	
1990684	40652440	Is a	20220216	20991231	
1990665	40652431	Is a	20220216	20991231	
1990744	40652451	Is a	20220216	20991231	
1990674	40652431	Is a	20220216	20991231	
1990666	40652431	Is a	20220216	20991231	
1990681	40652431	Is a	20220216	20991231	
1990771	40652448	Is a	20220216	20991231	
1990740	40652451	Is a	20220216	20991231	
1990759	40652451	Is a	20220216	20991231	
1990761	40652451	Is a	20220216	20991231	
1990746	40652451	Is a	20220216	20991231	
1990760	40652451	Is a	20220216	20991231	
1990751	40652451	Is a	20220216	20991231	
1990756	40652451	Is a	20220216	20991231	
1990757	40652451	Is a	20220216	20991231	
36304479	36304713	Maps to	20220216	20991231	
1617514	3032195	Maps to	20220216	20991231	
45878805	1988470	Answer of	19700101	20991231	
1025532	1988470	System of	20220216	20991231	
1992241	1988470	Component of	20220216	20991231	
1029636	1988470	Property of	20220216	20991231	
1029816	1988470	Time aspect of	20220216	20991231	
1033749	1988470	Scale type of	20220216	20991231	
45878805	1988199	Answer of	19700101	20991231	
1025532	1988199	System of	20220216	20991231	
1029636	1988199	Property of	20220216	20991231	
1029816	1988199	Time aspect of	20220216	20991231	
1033749	1988199	Scale type of	20220216	20991231	
45878805	1989543	Answer of	19700101	20991231	
1025532	1989543	System of	20220216	20991231	
1029636	1989543	Property of	20220216	20991231	
1029816	1989543	Time aspect of	20220216	20991231	
1033749	1989543	Scale type of	20220216	20991231	
45878805	1988711	Answer of	19700101	20991231	
1025532	1988711	System of	20220216	20991231	
1029636	1988711	Property of	20220216	20991231	
1029816	1988711	Time aspect of	20220216	20991231	
1033749	1988711	Scale type of	20220216	20991231	
45878805	1989153	Answer of	19700101	20991231	
1025532	1989153	System of	20220216	20991231	
1992247	1989153	Component of	20220216	20991231	
1029636	1989153	Property of	20220216	20991231	
1029816	1989153	Time aspect of	20220216	20991231	
1033749	1989153	Scale type of	20220216	20991231	
45878805	1989175	Answer of	19700101	20991231	
1025532	1989175	System of	20220216	20991231	
1029636	1989175	Property of	20220216	20991231	
1029816	1989175	Time aspect of	20220216	20991231	
1033749	1989175	Scale type of	20220216	20991231	
45878805	1989568	Answer of	19700101	20991231	
1025532	1989568	System of	20220216	20991231	
1992249	1989568	Component of	20220216	20991231	
1029636	1989568	Property of	20220216	20991231	
1029816	1989568	Time aspect of	20220216	20991231	
1033749	1989568	Scale type of	20220216	20991231	
45878805	1989456	Answer of	19700101	20991231	
1025532	1989456	System of	20220216	20991231	
1992591	1989456	Component of	20220216	20991231	
1029636	1989456	Property of	20220216	20991231	
1029816	1989456	Time aspect of	20220216	20991231	
1033749	1989456	Scale type of	20220216	20991231	
40657374	1989485	Subsumes	20220216	20991231	
40654143	1989485	Subsumes	20220216	20991231	
706391	1989485	Kind of	20220216	20991231	
1026207	1989485	System of	20220216	20991231	
1992590	1989485	Method of	20220216	20991231	
1029636	1989485	Property of	20220216	20991231	
1029816	1989485	Time aspect of	20220216	20991231	
40798302	1989485	Component of	20220216	20991231	
45877985	1989096	Answer of	19700101	20991231	
1992608	1989096	Component of	20220216	20991231	
1029157	1989096	Method of	20220216	20991231	
1029816	1989096	Time aspect of	20220216	20991231	
45877985	1988428	Answer of	19700101	20991231	
1992619	1988428	Component of	20220216	20991231	
1029157	1988428	Method of	20220216	20991231	
1029816	1988428	Time aspect of	20220216	20991231	
45877985	1988710	Answer of	19700101	20991231	
1992621	1988710	Component of	20220216	20991231	
1029157	1988710	Method of	20220216	20991231	
1029816	1988710	Time aspect of	20220216	20991231	
1029157	1988223	Method of	20220216	20991231	
1029636	1988223	Property of	20220216	20991231	
1029816	1988223	Time aspect of	20220216	20991231	
1012735	1988685	Property of	20220216	20991231	
1025532	1988685	System of	20220216	20991231	
1029816	1988685	Time aspect of	20220216	20991231	
1033751	1988685	Scale type of	20220216	20991231	
21498852	1989653	Answer of	19700101	20991231	
45883143	1989653	Answer of	19700101	20991231	
1011687	1989653	Component of	20220216	20991231	
1029636	1989653	Property of	20220216	20991231	
1029816	1989653	Time aspect of	20220216	20991231	
40785173	1989653	System of	20220216	20991231	
1990399	1989295	Answer of	19700101	20991231	
1990437	1989295	Answer of	19700101	20991231	
1990340	1989295	Answer of	19700101	20991231	
1990320	1989295	Answer of	19700101	20991231	
1013539	1989295	System of	20220216	20991231	
1029747	1989295	Property of	20220216	20991231	
1029816	1989295	Time aspect of	20220216	20991231	
1176915	1989055	Component of	20220216	20991231	
1029816	1989055	Time aspect of	20220216	20991231	
1031280	1989055	System of	20220216	20991231	
1029816	1988794	Time aspect of	20220216	20991231	
1031280	1988794	System of	20220216	20991231	
1990746	1988426	Subsumes	20220216	20991231	
1029816	1988426	Time aspect of	20220216	20991231	
1031280	1988426	System of	20220216	20991231	
1029816	1988957	Time aspect of	20220216	20991231	
1031280	1988957	System of	20220216	20991231	
1176829	1988254	Component of	20220216	20991231	
1029816	1988254	Time aspect of	20220216	20991231	
1031280	1988254	System of	20220216	20991231	
1176897	1989104	Component of	20220216	20991231	
1029816	1989104	Time aspect of	20220216	20991231	
1031280	1989104	System of	20220216	20991231	
1990751	1988772	Subsumes	20220216	20991231	
1029816	1988772	Time aspect of	20220216	20991231	
1031280	1988772	System of	20220216	20991231	
1176676	1988906	Component of	20220216	20991231	
1029816	1988906	Time aspect of	20220216	20991231	
1031280	1988906	System of	20220216	20991231	
1176883	1988581	Component of	20220216	20991231	
1029816	1988581	Time aspect of	20220216	20991231	
1031280	1988581	System of	20220216	20991231	
1990759	1989598	Subsumes	20220216	20991231	
1029816	1989598	Time aspect of	20220216	20991231	
1031280	1989598	System of	20220216	20991231	
1990760	1989363	Subsumes	20220216	20991231	
1029816	1989363	Time aspect of	20220216	20991231	
1031280	1989363	System of	20220216	20991231	
1176678	1989654	Component of	20220216	20991231	
1029816	1989654	Time aspect of	20220216	20991231	
1031280	1989654	System of	20220216	20991231	
1990761	1988642	Subsumes	20220216	20991231	
21496519	1988642	Component of	20220216	20991231	
1029816	1988642	Time aspect of	20220216	20991231	
1031280	1988642	System of	20220216	20991231	
1990136	1988853	Answer of	19700101	20991231	
1990233	1988853	Answer of	19700101	20991231	
1990104	1988853	Answer of	19700101	20991231	
1025532	1988853	System of	20220216	20991231	
1992399	1988853	Component of	20220216	20991231	
1029636	1988853	Property of	20220216	20991231	
1029816	1988853	Time aspect of	20220216	20991231	
45878731	1988082	Answer of	19700101	20991231	
