concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
45502609	4029357	Maps to	20180403	20991231	
45502611	44803188	Maps to	20140401	20991231	
45502612	44803200	Maps to	20140401	20991231	
45502618	4282932	Maps to	20140401	20991231	
45502633	4107931	Maps to	19700101	20991231	
45502639	4298444	Maps to	20140401	20991231	
45502641	4178172	Maps to	20170403	20991231	
45502653	4137062	Maps to	20140401	20991231	
45502655	4099608	Maps to	19700101	20991231	
45502660	4278680	Maps to	20170403	20991231	
45502663	4218255	Maps to	20170403	20991231	
45502664	4144509	Maps to	20170403	20991231	
45502665	4107804	Maps to	20170403	20991231	
45502668	4209986	Maps to	20170403	20991231	
45502671	4112036	Maps to	19700101	20991231	
45502673	4045890	Maps to	20140401	20991231	
45502674	4112039	Maps to	20140401	20991231	
45502678	4057099	Maps to	20140401	20991231	
45502679	4080475	Maps to	20140401	20991231	
45502688	44790267	Maps to	20140401	20991231	
45502690	4139686	Maps to	19700101	20991231	
45502691	44811203	Maps to	20140401	20991231	
45502692	44790195	Maps to	20140401	20991231	
45502701	4171764	Maps to	19700101	20991231	
45502706	4060110	Maps to	20140401	20991231	
45502711	4068369	Maps to	19700101	20991231	
45502713	4146454	Maps to	19700101	20991231	
45502715	4082386	Maps to	19700101	20991231	
45502721	44809952	Maps to	20140401	20991231	
45502737	44804249	Maps to	20140401	20991231	
45502738	4082883	Maps to	19700101	20991231	
45502748	4141765	Maps to	19700101	20991231	
45502766	4141845	Maps to	19700101	20991231	
45502769	4305741	Maps to	19700101	20991231	
45502774	4081262	Maps to	19700101	20991231	
45502777	4085019	Maps to	19700101	20991231	
45502785	44806050	Maps to	20140401	20991231	
45502786	44791300	Maps to	20140401	20991231	
45502787	44792201	Maps to	20140401	20991231	
45502789	44814129	Maps to	20140401	20991231	
45502790	4171418	Maps to	19700101	20991231	
45502793	4186250	Maps to	19700101	20991231	
45502796	4082091	Maps to	19700101	20991231	
45502799	44788880	Maps to	20140401	20991231	
45502804	44802083	Maps to	20140401	20991231	
45502805	44807160	Maps to	20140401	20991231	
45502810	4195667	Maps to	19700101	20991231	
45502813	44783737	Maps to	20140401	20991231	
45502815	44811188	Maps to	20140401	20991231	
45502818	44806899	Maps to	20140401	20991231	
45502821	4247104	Maps to	19700101	20991231	
45502846	44789731	Maps to	20140401	20991231	
45502847	44804403	Maps to	20140401	20991231	
45502848	44804409	Maps to	20140401	20991231	
45502851	44804416	Maps to	20140401	20991231	
45502852	44805452	Maps to	20140401	20991231	
45502866	44788490	Maps to	20140401	20991231	
45502869	4087276	Maps to	20140401	20991231	
45502871	44792393	Maps to	20140401	20991231	
45502872	4088397	Maps to	19700101	20991231	
45502878	4089026	Maps to	19700101	20991231	
45502880	4088555	Maps to	19700101	20991231	
45502881	4136644	Maps to	20140401	20991231	
45502886	4085798	Maps to	19700101	20991231	
45502887	44789252	Maps to	20140401	20991231	
45502893	44788703	Maps to	20140401	20991231	
45502902	44789439	Maps to	20140401	20991231	
45502910	44810718	Maps to	20140401	20991231	
45502912	44792285	Maps to	20140401	20991231	
45502915	44809864	Maps to	20140401	20991231	
45502918	44792712	Maps to	20140401	20991231	
45502934	44813563	Maps to	20140401	20991231	
45502964	42537418	Maps to	20180403	20991231	
45502965	4292398	Maps to	19700101	20991231	
45502966	4303071	Maps to	20140401	20991231	
45502969	44803859	Maps to	20140401	20991231	
45502980	44809012	Maps to	20140401	20991231	
45502983	4211852	Maps to	19700101	20991231	
45502994	4308864	Maps to	20140401	20991231	
45502997	257778	Maps to	20140401	20991231	
45502998	4091321	Maps to	19700101	20991231	
45503005	40493038	Maps to	20140401	20991231	
45503009	4210628	Maps to	19700101	20991231	
45503011	192239	Maps to	19700101	20991231	
45503012	443943	Maps to	20140401	20991231	
45503015	4289603	Maps to	20140401	20991231	
45503017	440029	Maps to	20140401	20991231	
45503019	195464	Maps to	19700101	20991231	
45503022	378352	Maps to	19700101	20991231	
45503023	435180	Maps to	20140401	20991231	
45503030	440647	Maps to	20140401	20991231	
45503033	4135568	Maps to	20140401	20991231	
45503035	80951	Maps to	20140401	20991231	
45503040	4090203	Maps to	19700101	20991231	
45503041	4091163	Maps to	20150917	20991231	
45503044	440029	Maps to	20150917	20991231	
45503046	440948	Maps to	20150917	20991231	
45503048	444201	Maps to	20140401	20991231	
45503061	4246130	Maps to	19700101	20991231	
45503062	4247823	Maps to	19700101	20991231	
45503073	4091490	Maps to	19700101	20991231	
45503074	35610158	Maps to	20180403	20991231	
45503076	196925	Maps to	20140401	20991231	
45503079	196355	Maps to	20140401	20991231	
45503080	198710	Maps to	20140401	20991231	
45503086	321526	Maps to	20140401	20991231	
45503091	4240043	Maps to	20140401	20991231	
45503097	4097726	Maps to	20140401	20991231	
45503098	4240149	Maps to	19700101	20991231	
45503101	444454	Maps to	20140401	20991231	
45503105	136057	Maps to	20180403	20991231	
45503106	4239883	Maps to	19700101	20991231	
45503115	441818	Maps to	20140401	20991231	
45503117	4243114	Maps to	19700101	20991231	
45503123	4094114	Maps to	19700101	20991231	
45503125	443736	Maps to	20140401	20991231	
45503130	4041444	Maps to	19700101	20991231	
45503131	4262123	Maps to	20140401	20991231	
45503132	4324390	Maps to	19700101	20991231	
45503135	4019483	Maps to	20180403	20991231	
45503139	4232456	Maps to	19700101	20991231	
45503140	4220365	Maps to	19700101	20991231	
45503141	4332050	Maps to	19700101	20991231	
45503148	4272931	Maps to	19700101	20991231	
45503149	4216834	Maps to	20180403	20991231	
45503157	4250780	Maps to	19700101	20991231	
45503166	435205	Maps to	19700101	20991231	
45503171	4275410	Maps to	20200319	20991231	
45503185	45766052	Maps to	20141001	20991231	
45503186	380688	Maps to	20140401	20991231	
45503187	24609	Maps to	20140401	20991231	
45503189	4120313	Maps to	20140401	20991231	
45503193	4011770	Maps to	20140401	20991231	
45503194	36683296	Maps to	20180403	20991231	
45503201	435227	Maps to	20140401	20991231	
45503206	4079876	Maps to	20140401	20991231	
45503214	4323827	Maps to	19700101	20991231	
45503234	4006317	Maps to	20140401	20991231	
45503235	4006317	Maps to	20140401	20991231	
45503237	201265	Maps to	20140401	20991231	
