concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
42030483	42030483	Maps to	20190221	20991231	
42030484	42030484	Mapped from	20190221	20991231	
42030484	42030484	Maps to	20190221	20991231	
42030486	42030486	Mapped from	20190221	20991231	
42030486	42030486	Maps to	20190221	20991231	
42030489	42030489	Mapped from	20190221	20991231	
42030489	42030489	Maps to	20190221	20991231	
42030490	42029934	Is a	19700101	20991231	
42030490	42030490	Mapped from	20190221	20991231	
42030490	42030490	Maps to	20190221	20991231	
42030493	42030287	Is a	19700101	20991231	
42030493	42030493	Mapped from	20190221	20991231	
42030493	42030493	Maps to	20190221	20991231	
42030495	42030495	Mapped from	20190221	20991231	
42030495	42030495	Maps to	20190221	20991231	
42030497	42030287	Is a	19700101	20991231	
42030497	42030497	Mapped from	20190221	20991231	
42030497	42030497	Maps to	20190221	20991231	
42030506	42023277	Is a	19700101	20991231	
42030506	42030506	Mapped from	20190221	20991231	
42030506	42030506	Maps to	20190221	20991231	
42030507	42030507	Mapped from	20190221	20991231	
42030507	42030507	Maps to	20190221	20991231	
42030508	42030508	Mapped from	20190221	20991231	
42030508	42030508	Maps to	20190221	20991231	
42030509	42029946	Is a	19700101	20991231	
42030509	42030509	Mapped from	20190221	20991231	
42030509	42030509	Maps to	20190221	20991231	
42030510	42030510	Mapped from	20190221	20991231	
42030510	42030510	Maps to	20190221	20991231	
42030514	42030514	Mapped from	20190221	20991231	
42030514	42030514	Maps to	20190221	20991231	
42030515	42029953	Is a	19700101	20991231	
42030515	42030515	Mapped from	20190221	20991231	
42030515	42030515	Maps to	20190221	20991231	
42030517	42030517	Mapped from	20190221	20991231	
42030517	42030517	Maps to	20190221	20991231	
42030519	42030519	Mapped from	20190221	20991231	
42030519	42030519	Maps to	20190221	20991231	
42030520	42030520	Mapped from	20190221	20991231	
42030520	42030520	Maps to	20190221	20991231	
42030522	42030522	Mapped from	20190221	20991231	
42030522	42030522	Maps to	20190221	20991231	
42030523	42030155	Is a	19700101	20991231	
42030523	42030523	Mapped from	20190221	20991231	
42030523	42030523	Maps to	20190221	20991231	
42030524	42030287	Is a	19700101	20991231	
42030524	42030524	Mapped from	20190221	20991231	
42030524	42030524	Maps to	20190221	20991231	
42030525	42030291	Is a	19700101	20991231	
42030525	42030525	Mapped from	20190221	20991231	
42030525	42030525	Maps to	20190221	20991231	
42030527	42030527	Mapped from	20190221	20991231	
42030527	42030527	Maps to	20190221	20991231	
42030528	42029996	Is a	19700101	20991231	
42030528	42030528	Mapped from	20190221	20991231	
42030528	42030528	Maps to	20190221	20991231	
42030529	42029943	Is a	19700101	20991231	
42030529	42030529	Mapped from	20190221	20991231	
42030529	42030529	Maps to	20190221	20991231	
42030530	42029959	Is a	19700101	20991231	
42030530	42030530	Mapped from	20190221	20991231	
42030530	42030530	Maps to	20190221	20991231	
42030531	42029916	Is a	19700101	20991231	
42030531	42030531	Mapped from	20190221	20991231	
42030531	42030531	Maps to	20190221	20991231	
42030534	42030534	Mapped from	20190221	20991231	
42030534	42030534	Maps to	20190221	20991231	
42030535	42029946	Is a	19700101	20991231	
42030535	42030535	Mapped from	20190221	20991231	
42030535	42030535	Maps to	20190221	20991231	
42030537	42030537	Mapped from	20190221	20991231	
42030537	42030537	Maps to	20190221	20991231	
42030540	42029978	Is a	19700101	20991231	
42030540	42030540	Mapped from	20190221	20991231	
42030540	42030540	Maps to	20190221	20991231	
42030544	42030544	Mapped from	20190221	20991231	
42030544	42030544	Maps to	20190221	20991231	
42030547	42030547	Mapped from	20190221	20991231	
42030547	42030547	Maps to	20190221	20991231	
42030551	42029942	Is a	19700101	20991231	
42030551	42030551	Mapped from	20190221	20991231	
42030551	42030551	Maps to	20190221	20991231	
42030552	42029977	Is a	19700101	20991231	
42030552	42030552	Mapped from	20190221	20991231	
