concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
40486232	36674439	Plays role	20220128	20991231	
45981618	609472	Is a	20220128	20991231	
40486662	4328361	Has focus	20220128	20991231	
40486693	36674439	Plays role	20220128	20991231	
40486715	606450	Is a	20220128	20991231	
40487183	4009505	Has finding site	20220128	20991231	
40487183	4125554	Has interpretation	20220128	20991231	
40487183	4313573	Has interprets	20220128	20991231	
40487186	4009505	Has finding site	20220128	20991231	
40487186	4125554	Has interpretation	20220128	20991231	
40487186	4313573	Has interprets	20220128	20991231	
40487600	4009505	Has finding site	20220128	20991231	
40487600	4125554	Has interpretation	20220128	20991231	
40487600	4313573	Has interprets	20220128	20991231	
40487652	4009505	Has finding site	20220128	20991231	
40487652	4125554	Has interpretation	20220128	20991231	
40487652	4313573	Has interprets	20220128	20991231	
40487653	4009505	Has finding site	20220128	20991231	
40487653	4125554	Has interpretation	20220128	20991231	
40487653	4313573	Has interprets	20220128	20991231	
40487654	4009505	Has finding site	20220128	20991231	
40487654	4125554	Has interpretation	20220128	20991231	
40487654	4313573	Has interprets	20220128	20991231	
40488082	40642533	Has Module	20220128	20991231	
42709754	4295343	Has asso morph	20220128	20991231	
42709916	4075101	Has finding site	20220128	20991231	
42709917	4075101	Has finding site	20220128	20991231	
42709919	4075101	Has finding site	20220128	20991231	
764024	4081176	Is a	20220128	20991231	
764024	4132135	Has interpretation	20220128	20991231	
764024	4190343	Has interprets	20220128	20991231	
764024	37219091	Has finding site	20220128	20991231	
42709946	4194010	Has finding site	20220128	20991231	
764025	4081176	Is a	20220128	20991231	
764025	4132135	Has interpretation	20220128	20991231	
764025	4190343	Has interprets	20220128	20991231	
764025	37219091	Has finding site	20220128	20991231	
42709946	4025839	Is a	20220128	20991231	
764026	4081176	Is a	20220128	20991231	
764026	4132135	Has interpretation	20220128	20991231	
764026	4190343	Has interprets	20220128	20991231	
764026	321052	Finding asso with	20220128	20991231	
764026	37219091	Has finding site	20220128	20991231	
42709971	4068271	Has finding site	20220128	20991231	
42709975	607259	Has finding site	20220128	20991231	
42710022	602850	Is a	20220128	20991231	
42710025	43530906	Has asso morph	20220128	20991231	
42710047	600530	Has due to	20220128	20991231	
42710048	600530	Has due to	20220128	20991231	
4260543	4270154	Has interprets	20220128	20991231	
765412	4041284	Is a	20220128	20991231	
764040	4041284	Is a	20220128	20991231	
764041	4041284	Is a	20220128	20991231	
45972439	4101474	Is a	20220128	20991231	
42873053	4176794	Is a	20220128	20991231	
42873053	4176798	Is a	20220128	20991231	
42873134	606789	Is a	20220128	20991231	
42873157	437409	Is a	20220128	20991231	
45972444	618653	Is a	20220128	20991231	
45972442	618653	Is a	20220128	20991231	
42872665	4295343	Has dir morph	20220128	20991231	
764092	36676836	Is a	20220128	20991231	
42872714	4311041	Is a	20220128	20991231	
618468	37117476	Is a	20220128	20991231	
618468	4149975	Has causative agent	20220128	20991231	
618468	4295343	Has asso morph	20220128	20991231	
