concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
602293	40480911	Has pathology	20220128	20991231	
602293	4169415	Is a	20220128	20991231	
602293	4245878	Has asso morph	20220128	20991231	
605397	36685925	Is a	20220128	20991231	
605397	4249833	Has causative agent	20220128	20991231	
605397	40480911	Has pathology	20220128	20991231	
605397	4245878	Has asso morph	20220128	20991231	
605398	135611	Is a	20220128	20991231	
605398	4249833	Has causative agent	20220128	20991231	
605398	40480911	Has pathology	20220128	20991231	
605398	4245878	Has asso morph	20220128	20991231	
605398	620276	Has finding site	20220128	20991231	
605399	135611	Is a	20220128	20991231	
605399	36685925	Is a	20220128	20991231	
605399	4249833	Has causative agent	20220128	20991231	
605399	40480911	Has pathology	20220128	20991231	
605399	4245878	Has asso morph	20220128	20991231	
605400	4249833	Has causative agent	20220128	20991231	
605400	4212700	Has asso morph	20220128	20991231	
605400	40480911	Has pathology	20220128	20991231	
605400	4275118	Is a	20220128	20991231	
605400	36695899	Has finding site	20220128	20991231	
605401	4249833	Has causative agent	20220128	20991231	
605401	4212700	Has asso morph	20220128	20991231	
605401	40480911	Has pathology	20220128	20991231	
605401	4275118	Is a	20220128	20991231	
605401	36695900	Has finding site	20220128	20991231	
602647	4199541	Is a	20220128	20991231	
602647	4249833	Has causative agent	20220128	20991231	
602647	4212700	Has asso morph	20220128	20991231	
602647	40480911	Has pathology	20220128	20991231	
602647	764156	Is a	20220128	20991231	
602648	4199541	Is a	20220128	20991231	
602648	4249833	Has causative agent	20220128	20991231	
602648	4212700	Has asso morph	20220128	20991231	
602648	40480911	Has pathology	20220128	20991231	
602648	764155	Is a	20220128	20991231	
46269730	443900	Is a	20220128	20991231	
602295	605403	Is a	20220128	20991231	
602295	4027555	Is a	20220128	20991231	
602295	4191741	Has clinical course	20220128	20991231	
602295	620215	Has finding site	20220128	20991231	
602297	36685933	Is a	20220128	20991231	
602297	4191741	Has clinical course	20220128	20991231	
602297	4244582	Is a	20220128	20991231	
602298	36685932	Is a	20220128	20991231	
602298	4191741	Has clinical course	20220128	20991231	
602298	620203	Has finding site	20220128	20991231	
602650	46269747	Is a	20220128	20991231	
602650	620242	Has finding site	20220128	20991231	
602288	46269747	Is a	20220128	20991231	
602288	620243	Has finding site	20220128	20991231	
4023479	4125554	Has interpretation	20220128	20991231	
4023479	4313573	Has interprets	20220128	20991231	
46091214	616079	Has spec active ing	20220128	20991231	
46091214	4196068	Has basis str subst	20220128	20991231	
46142283	616079	Has spec active ing	20220128	20991231	
46142283	4196068	Has basis str subst	20220128	20991231	
46273461	4151203	Is a	20220128	20991231	
46269756	4151203	Is a	20220128	20991231	
37016107	444131	Is a	20220128	20991231	
37016107	604317	Is a	20220128	20991231	
46269761	607997	Is a	20220128	20991231	
46269762	4344265	Is a	20220128	20991231	
46006704	613792	Is a	20220128	20991231	
46006737	613865	Is a	20220128	20991231	
37117795	4295343	Has asso morph	20220128	20991231	
42690692	4295343	Has asso morph	20220128	20991231	
42690692	432532	Has due to	20220128	20991231	
42689710	4295343	Has asso morph	20220128	20991231	
42689710	432532	Has due to	20220128	20991231	
42689711	4295343	Has asso morph	20220128	20991231	
42689711	432532	Has due to	20220128	20991231	
42689713	4295343	Has asso morph	20220128	20991231	
42689713	432532	Has due to	20220128	20991231	
42690593	4295343	Has asso morph	20220128	20991231	
42690593	432532	Has due to	20220128	20991231	
42689719	4295343	Has asso morph	20220128	20991231	
42689719	432532	Has due to	20220128	20991231	
42689720	4295343	Has asso morph	20220128	20991231	
42689720	432532	Has due to	20220128	20991231	
42689723	4295343	Has asso morph	20220128	20991231	
42689723	432532	Has due to	20220128	20991231	
45968386	36676743	Plays role	20220128	20991231	
42689728	4295343	Has asso morph	20220128	20991231	
45968382	36676743	Plays role	20220128	20991231	
42689732	4295343	Has asso morph	20220128	20991231	
42689732	432532	Has due to	20220128	20991231	
42689733	4295343	Has asso morph	20220128	20991231	
42689733	432532	Has due to	20220128	20991231	
42689734	4295343	Has asso morph	20220128	20991231	
42689734	432532	Has due to	20220128	20991231	
42689735	4295343	Has asso morph	20220128	20991231	
42689735	432532	Has due to	20220128	20991231	
42689737	4295343	Has asso morph	20220128	20991231	
42689737	432532	Has due to	20220128	20991231	
42690695	4295343	Has asso morph	20220128	20991231	
42690595	4295343	Has asso morph	20220128	20991231	
42690595	432532	Has due to	20220128	20991231	
42690695	432532	Has due to	20220128	20991231	
42689741	4295343	Has asso morph	20220128	20991231	
42689741	432532	Has due to	20220128	20991231	
42689742	4295343	Has asso morph	20220128	20991231	
42689742	432532	Has due to	20220128	20991231	
42690596	4295343	Has asso morph	20220128	20991231	
42690596	432532	Has due to	20220128	20991231	
36685970	4152541	Is a	20220128	20991231	
42689743	4295343	Has asso morph	20220128	20991231	
42689743	432532	Has due to	20220128	20991231	
602652	36685987	Is a	20220128	20991231	
602652	602300	Is a	20220128	20991231	
602652	4271843	Has finding site	20220128	20991231	
602652	4283512	Has finding site	20220128	20991231	
42689744	4295343	Has asso morph	20220128	20991231	
42689744	432532	Has due to	20220128	20991231	
42690696	4295343	Has asso morph	20220128	20991231	
42690696	432532	Has due to	20220128	20991231	
605406	36715377	Has finding site	20220128	20991231	
42689747	4295343	Has asso morph	20220128	20991231	
42689747	432532	Has due to	20220128	20991231	
42689748	4295343	Has asso morph	20220128	20991231	
42689748	432532	Has due to	20220128	20991231	
42689750	4295343	Has asso morph	20220128	20991231	
42689750	432532	Has due to	20220128	20991231	
42689751	4295343	Has asso morph	20220128	20991231	
42689751	432532	Has due to	20220128	20991231	
42690697	4295343	Has asso morph	20220128	20991231	
42690697	432532	Has due to	20220128	20991231	
42689754	4295343	Has asso morph	20220128	20991231	
42689754	432532	Has due to	20220128	20991231	
42689756	4295343	Has asso morph	20220128	20991231	
42689756	432532	Has due to	20220128	20991231	
42689759	4295343	Has asso morph	20220128	20991231	
42689759	432532	Has due to	20220128	20991231	
42689760	4295343	Has asso morph	20220128	20991231	
46006803	609472	Is a	20220128	20991231	
